cell	value
A1	program
B1	run
C1	v_measure
D1	num_mutations_pred
E1	num_mutations_true
F1	ancestor_descendant_f_score
G1	Success
H1	memory
I1	time
A2	CONIPHER
B2	p9
C2	0.9087558150593522
D2	112
E2	112
F2	0.9478219243657252
G2	1
H2	578.67
I2	166.35
A3	fastBE
B3	p9
C3	0.9087558150593522
D3	112
E3	112
F3	0.9478219243657252
G3	1
H3	3.5
I3	0.1637
A4	Pairtree
B4	p9
C4	0.9087558150593522
D4	112
E4	112
F4	0
G4	1
H4	589.88
I4	62.9542
A5	Orchard
B5	p9
C5	0.9087558150593522
D5	112
E5	112
F5	0
G5	1
H5	85.91
I5	0.7212
A6	PhyClone
B6	p9
C6	0.9087558150593522
D6	112
E6	112
F6	0.9478219243657252
G6	1
H6	1241.49
I6	53.9009
