cell	value
A1	program
B1	run
C1	v_measure
D1	num_mutations_pred
E1	num_mutations_true
F1	ancestor_descendant_f_score
G1	Success
H1	memory
I1	time
A2	CONIPHER
B2	p9
C2	1
D2	112
E2	112
F2	1
G2	1
H2	668.0599999999999
I2	154.7538
A3	fastBE
B3	p9
C3	1
D3	112
E3	112
F3	1
G3	1
H3	3.5
I3	0.1708
A4	Pairtree
B4	p9
C4	1
D4	112
E4	112
F4	0.5974025974025974
G4	1
H4	594.21
I4	53.1151
A5	Orchard
B5	p9
C5	1
D5	112
E5	112
F5	1
G5	1
H5	103.39
I5	1.0519
A6	PhyClone
B6	p9
C6	1
D6	112
E6	112
F6	1
G6	1
H6	1244.15
I6	51.5881
