cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
B2	LTXSIM150
C2	11
D2	0.8949264927522222
E2	972
F2	1047
G2	0.862759525766234
H2	1
I2	1341.18
J2	4519.1959
A3	PhyClone
B3	LTXSIM150
C3	11
D3	0.8526900213246908
E3	988
F3	1047
G3	0.8386081611266598
H3	1
I3	1333.78
J3	3312.1007
A4	PhyClone
B4	LTXSIM150
C4	11
D4	0.8309392958866285
E4	1047
F4	1047
G4	0.8949730607501103
H4	1
I4	1335.51
J4	3746.1788
A5	CONIPHER
B5	LTXSIM150
C5	11
D5	0.9321389409989485
E5	860
F5	1047
G5	0.7006413602944641
H5	1
I5	187.64
J5	324.3874
A6	CONIPHER
B6	LTXSIM150
C6	11
D6	0.8763661490699686
E6	889
F6	1047
G6	0.7366175548368459
H6	1
I6	180.55
J6	298.3058
A7	CONIPHER
B7	LTXSIM150
C7	11
D7	0.8605612067751611
E7	913
F7	1047
G7	0.7561530793744278
H7	1
I7	179.24
J7	253.8584
A8	fastBE
B8	LTXSIM150
C8	11
D8	0.8916820022276513
E8	1047
F8	1047
G8	0.8704392718284111
H8	1
I8	28.67
J8	53.7826
A9	fastBE
B9	LTXSIM150
C9	11
D9	0.8483133165264777
E9	1047
F9	1047
G9	0.7774065071851947
H9	1
I9	28.29
J9	51.7494
A10	fastBE
B10	LTXSIM150
C10	11
D10	0.8295548106894169
E10	1047
F10	1047
G10	0.8457041836310236
H10	1
I10	26.63
J10	39.3342
A11	Orchard
B11	LTXSIM150
C11	11
D11	0.8916820022276513
E11	1047
F11	1047
G11	0.811504302856586
H11	1
I11	
J11	12.7751
A12	Orchard
B12	LTXSIM150
C12	11
D12	0.8483133165264777
E12	1047
F12	1047
G12	0.8203012479516363
H12	1
I12	
J12	10.0738
A13	Orchard
B13	LTXSIM150
C13	11
D13	0.8295548106894169
E13	1047
F13	1047
G13	0.8751701052222304
H13	1
I13	1.53
J13	9.2531
A14	Pairtree
B14	LTXSIM150
C14	11
D14	0.8916820022276513
E14	1047
F14	1047
G14	0.8452053582256368
H14	1
I14	552.16
J14	184.911
A15	Pairtree
B15	LTXSIM150
C15	11
D15	0.8483133165264777
E15	1047
F15	1047
G15	0.8203146207270969
H15	1
I15	536.97
J15	176.0172
A16	Pairtree
B16	LTXSIM150
C16	11
D16	0.8295548106894169
E16	1047
F16	1047
G16	0.8751701052222304
H16	1
I16	550.21
J16	165.5655
A17	PhyClone
B17	LTXSIM015
C17	2
D17	0.8979186665960127
E17	473
F17	473
G17	0.9779347091741132
H17	1
I17	1019.06
J17	339.2786
A18	PhyClone
B18	LTXSIM015
C18	2
D18	0.8835482806390899
E18	473
F18	473
G18	0.967317983820784
H18	1
I18	1019.67
J18	476.4939
A19	PhyClone
B19	LTXSIM015
C19	2
D19	0.8741774679273844
E19	473
F19	473
G19	0.9517934998018232
H19	1
I19	1031.76
J19	512.0046
A20	CONIPHER
B20	LTXSIM015
C20	2
