cell	value
A1	program
B1	depth
C1	num_mutations
D1	num_samples
E1	run
F1	v_measure
G1	num_mutations_pred
H1	num_mutations_true
I1	ancestor_descendant_f_score
J1	Success
K1	memory
L1	time
A2	PhyClone
B2	1000
C2	100
D2	2
E2	0
F2	1
G2	100
H2	100
I2	0.9522983521248916
J2	1
K2	1008.44
L2	221.6767
A3	PhyClone
B3	1000
C3	100
D3	4
E3	0
F3	1
G3	100
H3	100
I3	0.8594249201277955
J3	1
K3	1017.1
L3	234.7376
A4	PhyClone
B4	1000
C4	100
D4	8
E4	0
F4	1
G4	100
H4	100
I4	1
J4	1
K4	1086.77
L4	328.0539
A5	PhyClone
B5	1000
C5	100
D5	16
E5	0
F5	1
G5	100
H5	100
I5	1
J5	1
K5	1036.31
L5	229.9252
A6	PhyClone
B6	1000
C6	100
D6	128
E6	0
F6	1
G6	100
H6	100
I6	1
J6	1
K6	1160.47
L6	608.7899
A7	PhyloWGS
B7	1000
C7	100
D7	2
E7	0
F7	0.8523246923931442
G7	100
H7	100
I7	0.9387402933563416
J7	1
K7	123.34
L7	59.0812
A8	PhyloWGS
B8	1000
C8	100
D8	4
E8	0
F8	0.8884121892407144
G8	100
H8	100
I8	0.8269662921348314
J8	1
K8	255.98
L8	1714.4554
A9	PhyloWGS
B9	1000
C9	100
D9	8
E9	0
F9	0.8817435799005925
G9	100
H9	100
I9	0.9960998439937596
J9	1
K9	256.26
L9	3377.4466
A10	PhyloWGS
B10	1000
C10	100
D10	16
E10	0
F10	0.9889673675096102
G10	100
H10	100
I10	0.971395213076474
J10	1
K10	260.68
L10	29575.6611
A11	PhyloWGS
B11	1000
C11	100
D11	128
E11	0
F11	0.9213541458335048
G11	100
H11	100
I11	0.9320388349514565
J11	1
K11	291.49
L11	153809.7461
A12	CONIPHER
B12	1000
C12	100
D12	2
E12	0
F12	1
G12	99
H12	100
I12	0.9319186560565872
J12	1
K12	161.79
L12	18.9879
A13	CONIPHER
B13	1000
C13	100
D13	4
E13	0
F13	1
G13	96
H13	100
I13	0.8167053364269141
J13	1
K13	104.37
L13	30.725
A14	CONIPHER
B14	1000
C14	100
D14	8
E14	0
F14	1
G14	93
H14	100
I14	0.6942317508933129
J14	1
K14	167.02
L14	12.818
A15	CONIPHER
B15	1000
C15	100
D15	16
E15	0
F15	1
G15	96
H15	100
I15	0.9320388349514565
J15	1
K15	151.43
L15	46.3097
A16	CONIPHER
B16	1000
C16	100
D16	128
E16	0
F16	1
G16	100
H16	100
I16	1
J16	1
K16	178.24
L16	250.7916
A17	fastBE
B17	1000
C17	100
D17	2
E17	0
F17	1
G17	100
H17	100
I17	0.9954254345837146
J17	1
K17	41.77
L17	4.1043
A18	fastBE
B18	1000
C18	100
D18	4
E18	0
F18	1
G18	100
H18	100
I18	1
J18	1
K18	33.47
L18	1.594
A19	fastBE
B19	1000
C19	100
D19	8
E19	0
F19	1
G19	100
H19	100
I19	1
J19	1
K19	42.55
L19	6.6909
A20	fastBE
B20	1000
C20	100
D20	16
E20	0
F20	1
G20	100
H20	100
I20	1
J20	1
K20	41.52
L20	2.8137
A21	fastBE
B21	1000
C21	100
D21	128
E21	0
F21	1
G21	100
H21	100
I21	1
J21	1
K21	31.93
L21	1.0646
A22	Orchard
B22	1000
C22	100
D22	2
E22	0
F22	1
G22	100
H22	100
I22	0.9954254345837146
J22	1
K22	69.39
L22	9.5107
A23	Orchard
B23	1000
C23	100
D23	4
E23	0
F23	1
G23	100
H23	100
I23	1
J23	1
K23	68.86
L23	5.3852
A24	Orchard
B24	1000
C24	100
D24	8
E24	0
F24	1
G24	100
H24	100
I24	1
J24	1
K24	137.18
L24	14.5668
A25	Orchard
B25	1000
C25	100
D25	16
E25	0
F25	1
G25	99
H25	100
I25	0.990053557765876
J25	1
K25	87
L25	5.5697
A26	Orchard
B26	1000
C26	100
D26	128
E26	0
F26	1
G26	98
H26	100
I26	0.9803921568627452
J26	1
K26	333.1
L26	6.6235
A27	Pairtree
B27	1000
C27	100
D27	2
E27	0
F27	1
G27	100
H27	100
I27	1
J27	1
K27	1149.07
L27	92.7338
A28	Pairtree
B28	1000
C28	100
D28	4
E28	0
F28	1
G28	100
H28	100
I28	0.8594249201277955
J28	1
K28	1141.46
L28	94.22190000000001
A29	Pairtree
B29	1000
C29	100
D29	8
E29	0
F29	1
G29	100
H29	100
I29	1
J29	1
K29	1123.25
L29	107.33
A30	Pairtree
B30	1000
C30	100
D30	16
E30	0
F30	1
G30	99
H30	100
I30	0.990053557765876
J30	1
K30	1141.1
L30	75.9123
A31	Pairtree
B31	1000
C31	100
D31	128
E31	0
F31	1
G31	98
H31	100
I31	0.9803921568627452
J31	1
K31	1075.01
L31	112.9683
A32	PhyClone
B32	1000
C32	100
D32	2
E32	1
F32	0.8113630458445799
G32	100
H32	100
I32	0.8638556744283616
J32	1
K32	1006.2
L32	196.1989
A33	PhyClone
B33	1000
C33	100
D33	4
E33	1
F33	1
G33	100
H33	100
I33	1
J33	1
K33	1003.29
L33	130.7756
A34	PhyClone
B34	1000
C34	100
D34	8
E34	1
F34	1
G34	100
H34	100
I34	1
J34	1
K34	1055.72
L34	255.9544
A35	PhyClone
B35	1000
C35	100
D35	16
E35	1
F35	1
G35	100
H35	100
I35	1
J35	1
K35	1035.22
L35	261.1892
A36	PhyClone
B36	1000
C36	100
D36	128
E36	1
F36	1
G36	100
H36	100
I36	1
J36	1
K36	1074.38
L36	180.6227
A37	PhyloWGS
B37	1000
C37	100
D37	2
E37	1
F37	0.8089927424048564
G37	100
H37	100
I37	0.9241472172351886
J37	1
K37	246.17
L37	390.2989
A38	PhyloWGS
B38	1000
C38	100
D38	4
E38	1
F38	0.8714419085946583
G38	100
H38	100
I38	0.9511742892459828
J38	1
K38	258.34
L38	2379.3496
A39	PhyloWGS
B39	1000
C39	100
D39	8
E39	1
F39	0.8543912411766172
G39	100
H39	100
I39	0.9247874427730542
J39	1
K39	257.19
L39	19000.1046
A40	PhyloWGS
B40	1000
C40	100
D40	16
E40	1
F40	0.9028343984199791
G40	100
H40	100
I40	0.9384532567737304
J40	1
K40	259.4
L40	38963.1278
A41	PhyloWGS
B41	1000
C41	100
D41	128
E41	1
F41	0.8971419067699627
G41	100
H41	100
I41	1
J41	1
K41	292.13
L41	155895.5439
A42	CONIPHER
B42	1000
C42	100
D42	2
E42	1
F42	1
G42	88
H42	100
I42	0.9076923076923076
J42	1
K42	166.65
L42	10.0753
A43	CONIPHER
B43	1000
C43	100
D43	4
E43	1
F43	1
G43	100
H43	100
I43	1
J43	1
K43	129.74
L43	21.1178
A44	CONIPHER
B44	1000
C44	100
D44	8
E44	1
F44	1
G44	93
H44	100
I44	0.9703504043126684
J44	1
K44	165.34
L44	18.9867
A45	CONIPHER
B45	1000
C45	100
D45	16
E45	1
F45	1
G45	100
H45	100
I45	1
J45	1
K45	151.84
L45	45.5597
A46	CONIPHER
B46	1000
C46	100
D46	128
E46	1
F46	1
G46	97
H46	100
I46	0.9798657718120806
J46	1
K46	176.79
L46	135.9666
A47	fastBE
B47	1000
C47	100
D47	2
E47	1
F47	0.8113630458445799
G47	100
H47	100
I47	0.8638556744283616
J47	1
K47	41.53
L47	3.6482
A48	fastBE
B48	1000
C48	100
D48	4
E48	1
F48	1
G48	100
H48	100
I48	1
J48	1
K48	42.54
L48	2.4932
A49	fastBE
B49	1000
C49	100
D49	8
E49	1
F49	1
G49	100
H49	100
I49	1
J49	1
K49	28.46
L49	1.5355
A50	fastBE
B50	1000
C50	100
D50	16
E50	1
F50	1
G50	100
H50	100
I50	1
J50	1
K50	41.52
L50	4.8176
A51	fastBE
B51	1000
C51	100
D51	128
E51	1
F51	1
G51	100
H51	100
I51	1
J51	1
K51	34.86
L51	1.5758
A52	Orchard
B52	1000
C52	100
D52	2
E52	1
F52	0.8113630458445799
G52	100
H52	100
I52	0.8638556744283616
J52	1
K52	67.51000000000001
L52	18.4332
A53	Orchard
B53	1000
C53	100
D53	4
E53	1
F53	1
G53	100
H53	100
I53	1
J53	1
K53	68.04000000000001
L53	7.7399
A54	Orchard
B54	1000
C54	100
D54	8
E54	1
F54	1
G54	100
H54	100
I54	1
J54	1
K54	69.67
L54	11.3004
A55	Orchard
B55	1000
C55	100
D55	16
E55	1
F55	1
G55	100
H55	100
I55	1
J55	1
K55	329.6
L55	11.7539
A56	Orchard
B56	1000
C56	100
D56	128
E56	1
F56	1
G56	99
H56	100
I56	0.9787234042553192
J56	1
K56	333.03
L56	5.0121
A57	Pairtree
B57	1000
C57	100
D57	2
E57	1
F57	0.8113630458445799
G57	100
H57	100
I57	0.8638556744283616
J57	1
K57	1122.24
L57	110.2701
A58	Pairtree
B58	1000
C58	100
D58	4
E58	1
F58	1
G58	100
H58	100
I58	1
J58	1
K58	1108.63
L58	167.5593
A59	Pairtree
B59	1000
C59	100
D59	8
E59	1
F59	1
G59	100
H59	100
I59	1
J59	1
K59	1122.11
L59	83.5497
A60	Pairtree
B60	1000
C60	100
D60	16
E60	1
F60	1
G60	100
H60	100
I60	1
J60	1
K60	1149.91
L60	186.2903
A61	Pairtree
B61	1000
C61	100
D61	128
E61	1
F61	1
G61	99
H61	100
I61	0.9787234042553192
J61	1
K61	1110.81
L61	100.8663
A62	PhyClone
B62	1000
C62	100
D62	2
E62	2
F62	1
G62	100
H62	100
I62	1
J62	1
K62	1014.66
L62	261.6761
A63	PhyClone
B63	1000
C63	100
D63	4
E63	2
F63	1
G63	100
H63	100
I63	1
J63	1
K63	997.87
L63	139.3379
A64	PhyClone
B64	1000
C64	100
D64	8
E64	2
F64	1
G64	100
H64	100
I64	1
J64	1
K64	1000.62
L64	189.1359
A65	PhyClone
B65	1000
C65	100
D65	16
E65	2
F65	1
G65	100
H65	100
I65	1
J65	1
K65	1068.48
L65	206.8307
A66	PhyClone
B66	1000
C66	100
D66	128
E66	2
F66	1
G66	100
H66	100
I66	1
J66	1
K66	1215.51
L66	746.5267
A67	PhyloWGS
B67	1000
C67	100
D67	2
E67	2
F67	0.6693713458174014
G67	100
H67	100
I67	0.9255441008018328
J67	1
K67	220.34
L67	35.7675
A68	PhyloWGS
B68	1000
C68	100
D68	4
E68	2
F68	0.5247540203622664
G68	100
H68	100
I68	0.6630103595368677
J68	1
K68	258.07
L68	2100.4522
A69	PhyloWGS
B69	1000
C69	100
D69	8
E69	2
F69	0.9464386376782959
G69	100
H69	100
I69	1
J69	1
K69	257.75
L69	6070.3916
A70	PhyloWGS
B70	1000
C70	100
D70	16
E70	2
F70	0.6632979712727453
G70	100
H70	100
I70	0.969592408885055
J70	1
K70	261.05
L70	38521.1147
A71	PhyloWGS
B71	1000
C71	100
D71	128
E71	2
F71	0.8763080175487455
G71	100
H71	100
I71	1
J71	1
K71	292.34
L71	164830.4087
A72	CONIPHER
B72	1000
C72	100
D72	2
E72	2
F72	1
G72	97
H72	100
I72	0.9625383828045035
J72	1
K72	70.95999999999999
L72	31.9419
A73	CONIPHER
B73	1000
C73	100
D73	4
E73	2
F73	1
G73	100
H73	100
I73	1
J73	1
K73	65.43000000000001
L73	34.6489
A74	CONIPHER
B74	1000
C74	100
D74	8
E74	2
F74	1
G74	99
H74	100
I74	0.9230769230769232
J74	1
K74	131.94
L74	26.544
A75	CONIPHER
B75	1000
C75	100
D75	16
E75	2
F75	1
G75	99
H75	100
I75	0.9908092355973996
J75	1
K75	154.62
L75	38.9238
A76	CONIPHER
B76	1000
C76	100
D76	128
E76	2
F76	1
G76	89
H76	100
I76	0.8198814409484724
J76	1
K76	188.05
L76	261.8375
A77	fastBE
B77	1000
C77	100
D77	2
E77	2
F77	1
G77	100
H77	100
I77	0.9939203765444204
J77	1
K77	42.28
L77	2.523
A78	fastBE
B78	1000
C78	100
D78	4
E78	2
F78	1
G78	100
H78	100
I78	0.6079276174062904
J78	1
K78	43.83
L78	7.9142
A79	fastBE
B79	1000
C79	100
D79	8
E79	2
F79	1
G79	100
H79	100
I79	1
J79	1
K79	31.14
L79	1.0476
A80	fastBE
B80	1000
C80	100
D80	16
E80	2
F80	1
G80	100
H80	100
I80	1
J80	1
K80	42.54
L80	2.6439
A81	fastBE
B81	1000
C81	100
D81	128
E81	2
F81	1
G81	100
H81	100
I81	1
J81	1
K81	114.75
L81	3.8463
A82	Orchard
B82	1000
C82	100
D82	2
E82	2
F82	1
G82	100
H82	100
I82	0.9939203765444204
J82	1
K82	120.78
L82	8.443700000000002
A83	Orchard
B83	1000
C83	100
D83	4
E83	2
F83	1
G83	100
H83	100
I83	1
J83	1
K83	69.45999999999999
L83	5.9318
A84	Orchard
B84	1000
C84	100
D84	8
E84	2
F84	1
G84	100
H84	100
I84	1
J84	1
K84	120.28
L84	5.723
A85	Orchard
B85	1000
C85	100
D85	16
E85	2
F85	1
G85	100
H85	100
I85	1
J85	1
K85	49.03
L85	22.8262
A86	Orchard
B86	1000
C86	100
D86	128
E86	2
F86	1
G86	95
H86	100
I86	0.9577124446234394
J86	1
K86	341.29
L86	7.1811
A87	Pairtree
B87	1000
C87	100
D87	2
E87	2
F87	1
G87	100
H87	100
I87	0.9939203765444204
J87	1
K87	1139.21
L87	89.3523
A88	Pairtree
B88	1000
C88	100
D88	4
E88	2
F88	1
G88	100
H88	100
I88	1
J88	1
K88	1108.41
L88	87.90360000000001
A89	Pairtree
B89	1000
C89	100
D89	8
E89	2
F89	1
G89	100
H89	100
I89	1
J89	1
K89	1111.69
L89	96.8424
A90	Pairtree
B90	1000
C90	100
D90	16
E90	2
F90	1
G90	100
H90	100
I90	1
J90	1
K90	1094.61
L90	94.75490000000001
A91	Pairtree
B91	1000
C91	100
D91	128
E91	2
F91	1
G91	95
H91	100
I91	0.9577124446234394
J91	1
K91	1109.58
L91	114.5519
A92	PhyClone
B92	1000
C92	100
D92	2
E92	3
F92	0.93547596059298
G92	100
H92	100
I92	0.9889488563351324
J92	1
K92	1062.11
L92	388.7053
A93	PhyClone
B93	1000
C93	100
D93	4
E93	3
F93	1
G93	100
H93	100
I93	1
J93	1
K93	1077.54
L93	212.218
A94	PhyClone
B94	1000
C94	100
D94	8
E94	3
F94	1
G94	100
H94	100
I94	1
J94	1
K94	1007.68
L94	207.9412
A95	PhyClone
B95	1000
C95	100
D95	16
E95	3
F95	1
G95	100
H95	100
I95	1
J95	1
K95	1053.43
L95	274.9665
A96	PhyClone
B96	1000
C96	100
D96	128
E96	3
F96	1
G96	100
H96	100
I96	1
J96	1
K96	1075.25
L96	203.0925
A97	PhyloWGS
B97	1000
C97	100
D97	2
E97	3
F97	0.7526915510694564
G97	100
H97	100
I97	0.9733820459290188
J97	1
K97	220.33
L97	47.7774
A98	PhyloWGS
B98	1000
C98	100
D98	4
E98	3
F98	0.9226545671448536
G98	100
H98	100
I98	0.8885460856151176
J98	1
K98	257.04
L98	6382.7768
A99	PhyloWGS
B99	1000
C99	100
D99	8
E99	3
F99	0.7790537320969082
G99	100
H99	100
I99	0.9537037037037036
J99	1
K99	258.33
L99	5837.9482
A100	PhyloWGS
B100	1000
C100	100
D100	16
E100	3
F100	0.9884607674289058
G100	100
H100	100
I100	0.9843719853366776
J100	1
K100	259.26
L100	8900.4668
A101	PhyloWGS
B101	1000
C101	100
D101	128
E101	3
F101	0.9538773625949484
G101	100
H101	100
I101	1
J101	1
K101	291.53
L101	119171.9857
A102	CONIPHER
B102	1000
C102	100
D102	2
E102	3
F102	0.9123924504371116
G102	95
H102	100
I102	0.8852178866419823
J102	1
K102	67.98999999999999
L102	31.6454
A103	CONIPHER
B103	1000
C103	100
D103	4
E103	3
F103	1
G103	96
H103	100
I103	0.9357798165137616
J103	1
K103	120.39
L103	24.9112
A104	CONIPHER
B104	1000
C104	100
D104	8
E104	3
F104	1
G104	96
H104	100
I104	0.886950453593859
J104	1
K104	66.23
L104	35.3504
A105	CONIPHER
B105	1000
C105	100
D105	16
E105	3
F105	1
G105	93
H105	100
I105	0.8931623931623932
J105	1
K105	166.66
L105	26.9577
A106	CONIPHER
B106	1000
C106	100
D106	128
E106	3
F106	1
G106	99
H106	100
I106	0.9523809523809524
J106	1
K106	178.95
L106	147.6346
A107	fastBE
B107	1000
C107	100
D107	2
E107	3
F107	0.93547596059298
G107	100
H107	100
I107	0.9935946707660772
J107	1
K107	35.36
L107	2.4261
A108	fastBE
B108	1000
C108	100
D108	4
E108	3
F108	1
G108	100
H108	100
I108	0.9642857142857144
J108	1
K108	42.29
L108	1.374
A109	fastBE
B109	1000
C109	100
D109	8
E109	3
F109	1
G109	100
H109	100
I109	1
J109	1
K109	42.29
L109	6.0932
A110	fastBE
B110	1000
C110	100
D110	16
E110	3
F110	1
G110	100
H110	100
I110	1
J110	1
K110	41.02
L110	2.7656
A111	fastBE
B111	1000
C111	100
D111	128
E111	3
F111	1
G111	100
H111	100
I111	1
J111	1
K111	43.83
L111	2.4194
A112	Orchard
B112	1000
C112	100
D112	2
E112	3
F112	0.93547596059298
G112	100
H112	100
I112	0.9830164765525984
J112	1
K112	88.84999999999999
L112	3.4277
A113	Orchard
B113	1000
C113	100
D113	4
E113	3
F113	1
G113	100
H113	100
I113	0.9642857142857144
J113	1
K113	69.31
L113	8.584300000000001
A114	Orchard
B114	1000
C114	100
D114	8
E114	3
F114	1
G114	100
H114	100
I114	1
J114	1
K114	86.95999999999999
L114	6.6178
A115	Orchard
B115	1000
C115	100
D115	16
E115	3
F115	1
G115	99
H115	100
I115	0.991236611489776
J115	1
K115	68.87
L115	6.9522
A116	Orchard
B116	1000
C116	100
D116	128
E116	3
F116	1
G116	98
H116	100
I116	0.9886363636363636
J116	1
K116	334.09
L116	4.1019
A117	Pairtree
B117	1000
C117	100
D117	2
E117	3
F117	0.93547596059298
G117	100
H117	100
I117	0.9897119341563786
J117	1
K117	1150.1
L117	103.0406
A118	Pairtree
B118	1000
C118	100
D118	4
E118	3
F118	1
G118	100
H118	100
I118	0.9642857142857144
J118	1
K118	1134.06
L118	99.746
A119	Pairtree
B119	1000
C119	100
D119	8
E119	3
F119	1
G119	100
H119	100
I119	1
J119	1
K119	1101.41
L119	88.7711
A120	Pairtree
B120	1000
C120	100
D120	16
E120	3
F120	1
G120	99
H120	100
I120	0.991236611489776
J120	1
K120	1127.16
L120	102.3529
A121	Pairtree
B121	1000
C121	100
D121	128
E121	3
F121	1
G121	98
H121	100
I121	0.9886363636363636
J121	1
K121	1122.65
L121	96.7777
A122	PhyClone
B122	1000
C122	100
D122	2
E122	4
F122	1
G122	100
H122	100
I122	1
J122	1
K122	998.11
L122	143.7637
A123	PhyClone
B123	1000
C123	100
D123	4
E123	4
F123	1
G123	100
H123	100
I123	1
J123	1
K123	1005.84
L123	124.4982
A124	PhyClone
B124	1000
C124	100
D124	8
E124	4
F124	1
G124	100
H124	100
I124	1
J124	1
K124	1064.97
L124	147.9891
A125	PhyClone
B125	1000
C125	100
D125	16
E125	4
F125	1
G125	100
H125	100
I125	1
J125	1
K125	1035.36
L125	202.2983
A126	PhyClone
B126	1000
C126	100
D126	128
E126	4
F126	1
G126	100
H126	100
I126	1
J126	1
K126	1235.2
L126	341.6326
A127	PhyloWGS
B127	1000
C127	100
D127	2
E127	4
F127	0.9664332103946156
G127	100
H127	100
I127	1
J127	1
K127	220.27
L127	142.5715
A128	PhyloWGS
B128	1000
C128	100
D128	4
E128	4
F128	0.8585273053138019
G128	100
H128	100
I128	0.8299065420560747
J128	1
K128	257.31
L128	3101.1756
A129	PhyloWGS
B129	1000
C129	100
D129	8
E129	4
F129	0.9826816545843676
G129	100
H129	100
I129	0.9309958970533384
J129	1
K129	259.8
L129	9233.5237
A130	PhyloWGS
B130	1000
C130	100
D130	16
E130	4
F130	0.9009536976405564
G130	100
H130	100
I130	0.995575221238938
J130	1
K130	257.77
L130	8564.131600000001
A131	PhyloWGS
B131	1000
C131	100
D131	128
E131	4
F131	0.7341179753340488
G131	100
H131	100
I131	0.9225925925925926
J131	1
K131	292.2
L131	163573.4852
A132	CONIPHER
B132	1000
C132	100
D132	2
E132	4
F132	1
G132	99
H132	100
I132	0.9879518072289156
J132	1
K132	102.21
L132	22.2171
A133	CONIPHER
B133	1000
C133	100
D133	4
E133	4
F133	1
G133	100
H133	100
I133	1
J133	1
K133	163.26
L133	18.104
A134	CONIPHER
B134	1000
C134	100
D134	8
E134	4
F134	1
G134	99
H134	100
I134	0.9908450704225352
J134	1
K134	66.06
L134	33.0565
A135	CONIPHER
B135	1000
C135	100
D135	16
E135	4
F135	1
G135	97
H135	100
I135	0.8192457737321196
J135	1
K135	155.64
L135	28.2497
A136	CONIPHER
B136	1000
C136	100
D136	128
E136	4
F136	1
G136	75
H136	100
I136	0.5722699386503067
J136	1
K136	173.75
L136	181.9024
A137	fastBE
B137	1000
C137	100
D137	2
E137	4
F137	1
G137	100
H137	100
I137	1
J137	1
K137	42.54
L137	3.2089
A138	fastBE
B138	1000
C138	100
D138	4
E138	4
F138	1
G138	100
H138	100
I138	1
J138	1
K138	43.09
L138	4.048
A139	fastBE
B139	1000
C139	100
D139	8
E139	4
F139	1
G139	100
H139	100
I139	1
J139	1
K139	34.54
L139	2.8084
A140	fastBE
B140	1000
C140	100
D140	16
E140	4
F140	1
G140	100
H140	100
I140	1
J140	1
K140	43.83
L140	3.0792
A141	fastBE
B141	1000
C141	100
D141	128
E141	4
F141	1
G141	100
H141	100
I141	1
J141	1
K141	114.75
L141	2.7247
A142	Orchard
B142	1000
C142	100
D142	2
E142	4
F142	1
G142	100
H142	100
I142	1
J142	1
K142	66.98999999999999
L142	17.5991
A143	Orchard
B143	1000
C143	100
D143	4
E143	4
F143	1
G143	100
H143	100
I143	1
J143	1
K143	70.83
L143	10.3051
A144	Orchard
B144	1000
C144	100
D144	8
E144	4
F144	1
G144	100
H144	100
I144	1
J144	1
K144	137.24
L144	4.5804
A145	Orchard
B145	1000
C145	100
D145	16
E145	4
F145	1
G145	98
H145	100
I145	0.9888641425389756
J145	1
K145	62.43
L145	3.6685
A146	Orchard
B146	1000
C146	100
D146	128
E146	4
F146	1
G146	98
H146	100
I146	0.9835779175401816
J146	1
K146	341.07
L146	5.614100000000001
A147	Pairtree
B147	1000
C147	100
D147	2
E147	4
F147	1
G147	100
H147	100
I147	1
J147	1
K147	1110.11
L147	91.2002
A148	Pairtree
B148	1000
C148	100
D148	4
E148	4
F148	1
G148	100
H148	100
I148	1
J148	1
K148	1124.16
L148	88.55649999999999
A149	Pairtree
B149	1000
C149	100
D149	8
E149	4
F149	1
G149	100
H149	100
I149	1
J149	1
K149	1157.54
L149	88.21599999999999
A150	Pairtree
B150	1000
C150	100
D150	16
E150	4
F150	1
G150	98
H150	100
I150	0.9888641425389756
J150	1
K150	1149.86
L150	93.4635
A151	Pairtree
B151	1000
C151	100
D151	128
E151	4
F151	1
G151	98
H151	100
I151	0.9835779175401816
J151	1
K151	1143.32
L151	114.0948
A152	PhyClone
B152	1000
C152	100
D152	2
E152	5
F152	1
G152	100
H152	100
I152	1
J152	1
K152	1002.35
L152	100.8549
A153	PhyClone
B153	1000
C153	100
D153	4
E153	5
F153	1
G153	100
H153	100
I153	0.9922836287799792
J153	1
K153	1005.41
L153	174.371
A154	PhyClone
B154	1000
C154	100
D154	8
E154	5
F154	1
G154	100
H154	100
I154	1
J154	1
K154	1038.69
L154	251.0182
A155	PhyClone
B155	1000
C155	100
D155	16
E155	5
F155	1
G155	100
H155	100
I155	1
J155	1
K155	1065.75
L155	250.7415
A156	PhyClone
B156	1000
C156	100
D156	128
E156	5
F156	1
G156	100
H156	100
I156	1
J156	1
K156	1122.86
L156	262.8909
