cell	value
A1	program
B1	depth
C1	num_mutations
D1	num_samples
E1	run
F1	v_measure
G1	num_mutations_pred
H1	num_mutations_true
I1	ancestor_descendant_f_score
J1	Success
K1	memory
L1	time
A2	PhyClone
B2	1000
C2	10000
D2	2
E2	0
F2	0.9981403224858408
G2	10000
H2	10000
I2	0.9999355122409952
J2	1
K2	1085.32
L2	385.2809
A3	PhyClone
B3	1000
C3	10000
D3	4
E3	0
F3	0.9901286822704496
G3	10000
H3	10000
I3	0.9667694174757282
J3	1
K3	1232.25
L3	344.0077
A4	PhyClone
B4	1000
C4	10000
D4	8
E4	0
F4	0.9740354187686096
G4	10000
H4	10000
I4	0.9923581086276158
J4	1
K4	1437.25
L4	849.2199000000001
A5	PhyClone
B5	1000
C5	10000
D5	16
E5	0
F5	1
G5	10000
H5	10000
I5	1
J5	1
K5	1627.86
L5	577.9532
A6	CONIPHER
B6	1000
C6	10000
D6	2
E6	0
F6	0.9983081296968292
G6	9997
H6	10000
I6	0.998227883161609
J6	1
K6	684.36
L6	636.9054
A7	CONIPHER
B7	1000
C7	10000
D7	4
E7	0
F7	0.9901286822704496
G7	10000
H7	10000
I7	0.9667694174757282
J7	1
K7	679.3200000000001
L7	805.8631
A8	CONIPHER
B8	1000
C8	10000
D8	8
E8	0
F8	0.9738101696058844
G8	9932
H8	10000
I8	0.9857902597147152
J8	1
K8	543.24
L8	1287.3686
A9	CONIPHER
B9	1000
C9	10000
D9	16
E9	0
F9	1
G9	9992
H9	10000
I9	0.998914900310116
J9	1
K9	1020.22
L9	4799.6483
A10	fastBE
B10	1000
C10	10000
D10	2
E10	0
F10	0.9981403224858408
G10	10000
H10	10000
I10	0.9999554416249108
J10	1
K10	28.46
L10	1.2221
A11	fastBE
B11	1000
C11	10000
D11	4
E11	0
F11	0.9901286822704496
G11	10000
H11	10000
I11	0.9998502401766304
J11	1
K11	43.84
L11	1.9897
A12	fastBE
B12	1000
C12	10000
D12	8
E12	0
F12	0.962819221988201
G12	10000
H12	10000
I12	0.9895249526876296
J12	1
K12	31.13
L12	2.1726
A13	fastBE
B13	1000
C13	10000
D13	16
E13	0
F13	1
G13	10000
H13	10000
I13	1
J13	1
K13	32.16
L13	2.6639
A14	Orchard
B14	1000
C14	10000
D14	2
E14	0
F14	0.9981401034845684
G14	9995
H14	10000
I14	0.999697415460762
J14	1
K14	79.34
L14	14.5795
A15	Orchard
B15	1000
C15	10000
D15	4
E15	0
F15	0.9901244030946064
G15	9988
H15	10000
I15	0.9991761766493348
J15	1
K15	140.91
L15	9.2149
A16	Orchard
B16	1000
C16	10000
D16	8
E16	0
F16	0.9627926669830136
G16	9990
H16	10000
I16	0.988125310782882
J16	1
K16	75.84
L16	17.9176
A17	Orchard
B17	1000
C17	10000
D17	16
E17	0
F17	1
G17	9946
H17	10000
I17	0.9960500065596858
J17	1
K17	395.05
L17	9.798999999999999
A18	Pairtree
B18	1000
C18	10000
D18	2
E18	0
F18	0.9981401034845684
G18	9995
H18	10000
I18	0.9996874328382184
J18	1
K18	1153.21
L18	129.3814
A19	Pairtree
B19	1000
C19	10000
D19	4
E19	0
F19	0.9901244030946064
G19	9988
H19	10000
I19	0.965934572784642
J19	1
K19	1175.08
L19	102.2719
A20	Pairtree
B20	1000
C20	10000
D20	8
E20	0
F20	0.9627926669830136
G20	9990
H20	10000
I20	0.988125310782882
J20	1
K20	1141.12
L20	182.2473
A21	Pairtree
B21	1000
C21	10000
D21	16
E21	0
F21	1
G21	9946
H21	10000
I21	0.9960500065596858
J21	1
K21	1188.28
L21	240.774
A22	PhyClone
B22	1000
C22	10000
D22	2
E22	1
F22	1
G22	10000
H22	10000
I22	0.9999988537670372
J22	1
K22	1055.02
L22	296.0822
A23	PhyClone
B23	1000
C23	10000
D23	4
E23	1
F23	1
G23	10000
H23	10000
I23	0.9999269502458124
J23	1
K23	1090.59
L23	198.3551
A24	PhyClone
B24	1000
C24	10000
D24	8
E24	1
F24	1
G24	10000
H24	10000
I24	1
J24	1
K24	1251.35
L24	423.2897
A25	PhyClone
B25	1000
C25	10000
D25	16
E25	1
F25	1
G25	10000
H25	10000
I25	1
J25	1
K25	1482.03
L25	515.6747
A26	CONIPHER
B26	1000
C26	10000
D26	2
E26	1
F26	1
G26	9995
H26	10000
I26	0.9706651690324803
J26	1
K26	692.63
L26	1342.3582
A27	CONIPHER
B27	1000
C27	10000
D27	4
E27	1
F27	1
G27	9992
H27	10000
I27	0.9793265163770202
J27	1
K27	754.23
L27	2435.8891
A28	CONIPHER
B28	1000
C28	10000
D28	8
E28	1
F28	1
G28	9992
H28	10000
I28	0.9486132336541242
J28	1
K28	836.2
L28	4225.8142
A29	CONIPHER
B29	1000
C29	10000
D29	16
E29	1
F29	1
G29	9995
H29	10000
I29	0.7367877504136238
J29	1
K29	944.79
L29	8367.8848
A30	fastBE
B30	1000
C30	10000
D30	2
E30	1
F30	1
G30	10000
H30	10000
I30	1
J30	1
K30	33.72
L30	0.9029
A31	fastBE
B31	1000
C31	10000
D31	4
E31	1
F31	1
G31	10000
H31	10000
I31	0.9999269502458124
J31	1
K31	42.54
L31	1.3584
A32	fastBE
B32	1000
C32	10000
D32	8
E32	1
F32	1
G32	10000
H32	10000
I32	1
J32	1
K32	28.16
L32	1.6933
A33	fastBE
B33	1000
C33	10000
D33	16
E33	1
F33	1
G33	10000
H33	10000
I33	1
J33	1
K33	41.02
L33	2.4737
A34	Orchard
B34	1000
C34	10000
D34	2
E34	1
F34	1
G34	9988
H34	10000
I34	0.9993944217989802
J34	1
K34	94.94
L34	7.0549
A35	Orchard
B35	1000
C35	10000
D35	4
E35	1
F35	1
G35	9977
H35	10000
I35	0.9987493783459614
J35	1
K35	79.18000000000001
L35	8.881399999999999
A36	Orchard
B36	1000
C36	10000
D36	8
E36	1
F36	1
G36	9967
H36	10000
I36	0.9983362251617354
J36	1
K36	43.32
L36	31.9223
A37	Orchard
B37	1000
C37	10000
D37	16
E37	1
F37	1
G37	9909
H37	10000
I37	0.9954242231235962
J37	1
K37	54.96
L37	22.6543
A38	Pairtree
B38	1000
C38	10000
D38	2
E38	1
F38	1
G38	9988
H38	10000
I38	0.9993932755664386
J38	1
K38	1173.75
L38	154.8164
A39	Pairtree
B39	1000
C39	10000
D39	4
E39	1
F39	1
G39	9977
H39	10000
I39	0.9988224279925688
J39	1
K39	1177.3
L39	171.1725
A40	Pairtree
B40	1000
C40	10000
D40	8
E40	1
F40	1
G40	9967
H40	10000
I40	0.9983362251617354
J40	1
K40	1180.33
L40	180.294
A41	Pairtree
B41	1000
C41	10000
D41	16
E41	1
F41	1
G41	9909
H41	10000
I41	0.9953655593174884
J41	1
K41	1206.19
L41	254.1533
A42	PhyClone
B42	1000
C42	10000
D42	2
E42	2
F42	0.9991217014322702
G42	10000
H42	10000
I42	0.9990326474064068
J42	1
K42	1120.32
L42	623.3787
A43	PhyClone
B43	1000
C43	10000
D43	4
E43	2
F43	0.9990648048061278
G43	10000
H43	10000
I43	0.9999941386728834
J43	1
K43	1175.71
L43	393.1924
A44	PhyClone
B44	1000
C44	10000
D44	8
E44	2
F44	0.8476978163666579
G44	10000
H44	10000
I44	0.8309371310208596
J44	1
K44	1354.05
L44	494.7793
A45	PhyClone
B45	1000
C45	10000
D45	16
E45	2
F45	0.9866948419963087
G45	10000
H45	10000
I45	0.9625909478726912
J45	1
K45	1723.51
L45	621.2832999999999
A46	CONIPHER
B46	1000
C46	10000
D46	2
E46	2
F46	0.9991204151004056
G46	9999
H46	10000
I46	0.9774547732032496
J46	1
K46	653.49
L46	518.5222
A47	CONIPHER
B47	1000
C47	10000
D47	4
E47	2
F47	0.9990434878514221
G47	9995
H47	10000
I47	0.9936804485503116
J47	1
K47	815.21
L47	1965.54
A48	CONIPHER
B48	1000
C48	10000
D48	8
E48	2
F48	1
G48	8486
H48	10000
I48	0.8919662598607327
J48	1
K48	721.25
L48	1506.4344
A49	CONIPHER
B49	1000
C49	10000
D49	16
E49	2
F49	0.9981521898864828
G49	9808
H49	10000
I49	0.9542104806904478
J49	1
K49	525.23
L49	2419.5659
A50	fastBE
B50	1000
C50	10000
D50	2
E50	2
F50	0.99912170143227
G50	10000
H50	10000
I50	0.9990943656251384
J50	1
K50	33.92
L50	1.1417
A51	fastBE
B51	1000
C51	10000
D51	4
E51	2
F51	0.9990648048061278
G51	10000
H51	10000
I51	0.999988277551894
J51	1
K51	30.37
L51	1.4846
A52	fastBE
B52	1000
C52	10000
D52	8
E52	2
F52	0.8476978163666579
G52	10000
H52	10000
I52	0.8310180373170259
J52	1
K52	33.97
L52	3.2171
A53	fastBE
B53	1000
C53	10000
D53	16
E53	2
F53	0.986694841996309
G53	10000
H53	10000
I53	0.9625909478726912
J53	1
K53	43.83
L53	3.7895
A54	Orchard
B54	1000
C54	10000
D54	2
E54	2
F54	0.999121411008112
G54	9992
H54	10000
I54	0.977188452266493
J54	1
K54	81.18000000000001
L54	14.0174
A55	Orchard
B55	1000
C55	10000
D55	4
E55	2
F55	0.9990644217285496
G55	9980
H55	10000
I55	0.9989448993049754
J55	1
K55	77.64
L55	8.644399999999999
A56	Orchard
B56	1000
C56	10000
D56	8
E56	2
F56	0.8475760853413379
G56	9994
H56	10000
I56	0.8294179744510147
J56	1
K56	43.83
L56	31.4825
A57	Orchard
B57	1000
C57	10000
D57	16
E57	2
F57	0.9866827949990004
G57	9989
H57	10000
I57	0.9605204080513584
J57	1
K57	408.45
L57	15.1726
A58	Pairtree
B58	1000
C58	10000
D58	2
E58	2
F58	0.999121411008112
G58	9992
H58	10000
I58	0.9992801832040764
J58	1
K58	1179.25
L58	159.5629
A59	Pairtree
B59	1000
C59	10000
D59	4
E59	2
F59	0.9990644217285496
G59	9980
H59	10000
I59	0.9989448993049754
J59	1
K59	1176.74
L59	163.1867
A60	Pairtree
B60	1000
C60	10000
D60	8
E60	2
F60	0.8475760853413379
G60	9994
H60	10000
I60	0.8294179744510147
J60	1
K60	1170.19
L60	195.4928
A61	Pairtree
B61	1000
C61	10000
D61	16
E61	2
F61	0.9866827949990004
G61	9989
H61	10000
I61	0.9605204080513584
J61	1
K61	1214.96
L61	189.8282
A62	PhyClone
B62	1000
C62	10000
D62	2
E62	3
F62	0.9127424507469104
G62	10000
H62	10000
I62	0.9905496081544845
J62	1
K62	1049.22
L62	160.2171
A63	PhyClone
B63	1000
C63	10000
D63	4
E63	3
F63	0.9872493107232292
G63	10000
H63	10000
I63	0.9989929476125956
J63	1
K63	1193.79
L63	418.1503
A64	PhyClone
B64	1000
C64	10000
D64	8
E64	3
F64	0.994342256734094
G64	10000
H64	10000
I64	0.976695490827749
J64	1
K64	1375.78
L64	1017.1158
A65	PhyClone
B65	1000
C65	10000
D65	16
E65	3
F65	0.909508881519184
G65	10000
H65	10000
I65	0.9675313878055888
J65	1
K65	1318.01
L65	157.5395
A66	CONIPHER
B66	1000
C66	10000
D66	2
E66	3
F66	1
G66	9657
H66	10000
I66	0.6826528609240538
J66	1
K66	788.34
L66	1137.0061
A67	CONIPHER
B67	1000
C67	10000
D67	4
E67	3
F67	0.98720114976149
G67	9998
H67	10000
I67	0.9766163653216444
J67	1
K67	758.48
L67	1511.3745
A68	CONIPHER
B68	1000
C68	10000
D68	8
E68	3
F68	0.994342256734094
G68	10000
H68	10000
I68	0.9533667415214764
J68	1
K68	689.65
L68	1466.8008
A69	CONIPHER
B69	1000
C69	10000
D69	16
E69	3
F69	1
G69	9577
H69	10000
I69	0.9489296750658424
J69	1
K69	829.98
L69	3559.3051
A70	fastBE
B70	1000
C70	10000
D70	2
E70	3
F70	0.9127424507469104
G70	10000
H70	10000
I70	0.9904958585776208
J70	1
K70	32.96
L70	0.8552
A71	fastBE
B71	1000
C71	10000
D71	4
E71	3
F71	0.987249310723229
G71	10000
H71	10000
I71	0.9989929476125956
J71	1
K71	33.66
L71	1.259
A72	fastBE
B72	1000
C72	10000
D72	8
E72	3
F72	0.994342256734094
G72	10000
H72	10000
I72	0.9838801521970476
J72	1
K72	33.99
L72	2.0158
A73	fastBE
B73	1000
C73	10000
D73	16
E73	3
F73	0.909508881519184
G73	10000
H73	10000
I73	0.8741489437584291
J73	1
K73	38.44
L73	1.6772
A74	Orchard
B74	1000
C74	10000
D74	2
E74	3
F74	0.9127218747417551
G74	9991
H74	10000
I74	0.9900649748219194
J74	1
K74	80.42
L74	7.3353
A75	Orchard
B75	1000
C75	10000
D75	4
E75	3
F75	0.9872423220927662
G75	9982
H75	10000
I75	0.9979304903414352
J75	1
K75	98.2
L75	5.4149
A76	Orchard
B76	1000
C76	10000
D76	8
E76	3
F76	0.9943369272455276
G76	9977
H76	10000
I76	0.9777377408628344
J76	1
K76	396.62
L76	7.2714
A77	Orchard
B77	1000
C77	10000
D77	16
E77	3
F77	0.9092569369059232
G77	9963
H77	10000
I77	0.9642535659567488
J77	1
K77	81.98
L77	14.0053
A78	Pairtree
B78	1000
C78	10000
D78	2
E78	3
F78	0.9127218747417551
G78	9991
H78	10000
I78	0.9900649748219194
J78	1
K78	1161.23
L78	159.5366
A79	Pairtree
B79	1000
C79	10000
D79	4
E79	3
F79	0.9872423220927662
G79	9982
H79	10000
I79	0.9987761186489352
J79	1
K79	1195.06
L79	122.9855
A80	Pairtree
B80	1000
C80	10000
D80	8
E80	3
F80	0.9943369272455276
G80	9977
H80	10000
I80	0.9905262934653634
J80	1
K80	1180.2
L80	171.7783
A81	Pairtree
B81	1000
C81	10000
D81	16
E81	3
F81	0.9092569369059232
G81	9963
H81	10000
I81	0.9642535659567488
J81	1
K81	1187.7
L81	228.088
A82	PhyClone
B82	1000
C82	10000
D82	2
E82	4
F82	0.8299663464563537
G82	10000
H82	10000
I82	0.9210468451112844
J82	1
K82	1051.17
L82	165.673
A83	PhyClone
B83	1000
C83	10000
D83	4
E83	4
F83	1
G83	10000
H83	10000
I83	1
J83	1
K83	1074.34
L83	145.9165
A84	PhyClone
B84	1000
C84	10000
D84	8
E84	4
F84	0.8673483540636431
G84	10000
H84	10000
I84	0.9481804818378567
J84	1
K84	1378.48
L84	1164.7522
A85	PhyClone
B85	1000
C85	10000
D85	16
E85	4
F85	0.9561073860060656
G85	10000
H85	10000
I85	0.9937803701942096
J85	1
K85	1334.34
L85	270.642
A86	CONIPHER
B86	1000
C86	10000
D86	2
E86	4
F86	0.8295718967040197
G86	9998
H86	10000
I86	0.9208111364325868
J86	1
K86	609.51
L86	402.3994
A87	CONIPHER
B87	1000
C87	10000
D87	4
E87	4
F87	1
G87	10000
H87	10000
I87	1
J87	1
K87	839.3
L87	2127.6141
A88	CONIPHER
B88	1000
C88	10000
D88	8
E88	4
F88	0.8671444969953747
G88	9998
H88	10000
I88	0.947214698112979
J88	1
K88	600.96
L88	1196.6735
A89	CONIPHER
B89	1000
C89	10000
D89	16
E89	4
F89	1
G89	9855
H89	10000
I89	0.946788990825688
J89	1
K89	916.8
L89	4339.2548
A90	fastBE
B90	1000
C90	10000
D90	2
E90	4
F90	0.8299663464563537
G90	10000
H90	10000
I90	0.9210468451112844
J90	1
K90	40.5
L90	1.4021
A91	fastBE
B91	1000
C91	10000
D91	4
E91	4
F91	1
G91	10000
H91	10000
I91	1
J91	1
K91	43.83
L91	1.1778
A92	fastBE
B92	1000
C92	10000
D92	8
E92	4
F92	0.8673483540636431
G92	10000
H92	10000
I92	0.9631802518501014
J92	1
K92	41.01
L92	2.3146
A93	fastBE
B93	1000
C93	10000
D93	16
E93	4
F93	0.9561073860060656
G93	10000
H93	10000
I93	0.9937803701942096
J93	1
K93	39.73
L93	0.9843
A94	Orchard
B94	1000
C94	10000
D94	2
E94	4
F94	0.8299436942899342
G94	9998
H94	10000
I94	0.9208749750265997
J94	1
K94	78.66
L94	8.825699999999999
A95	Orchard
B95	1000
C95	10000
D95	4
E95	4
F95	1
G95	9982
H95	10000
I95	0.9990952045842968
J95	1
K95	58.83
L95	21.1095
A96	Orchard
B96	1000
C96	10000
D96	8
E96	4
F96	0.8672102277080558
G96	9988
H96	10000
I96	0.911011507800872
J96	1
K96	400.24
L96	6.0354
A97	Orchard
B97	1000
C97	10000
D97	16
E97	4
F97	0.9560275081126636
G97	9941
H97	10000
I97	0.9903244244693769
J97	1
K97	98.95999999999999
L97	12.9378
A98	Pairtree
B98	1000
C98	10000
D98	2
E98	4
F98	0.8299436942899342
G98	9998
H98	10000
I98	0.9208749750265997
J98	1
K98	1145.8
L98	143.1268
A99	Pairtree
B99	1000
C99	10000
D99	4
E99	4
F99	1
G99	9982
H99	10000
I99	0.9990952045842968
J99	1
K99	1204.64
L99	160.0307
A100	Pairtree
B100	1000
C100	10000
D100	8
E100	4
F100	0.8672102277080558
G100	9988
H100	10000
I100	0.9467540642056104
J100	1
K100	1142.2
L100	155.9099
A101	Pairtree
B101	1000
C101	10000
D101	16
E101	4
F101	0.9560275081126636
G101	9941
H101	10000
I101	0.9903244244693769
J101	1
K101	1214.22
L101	202.1604
A102	PhyClone
B102	1000
C102	10000
D102	2
E102	5
F102	0.993988370566549
G102	10000
H102	10000
I102	0.9966106849430058
J102	1
K102	1115.38
L102	519.215
A103	PhyClone
B103	1000
C103	10000
D103	4
E103	5
F103	1
G103	10000
H103	10000
I103	1
J103	1
K103	1074.1
L103	129.3598
A104	PhyClone
B104	1000
C104	10000
D104	8
E104	5
F104	0.9010585690926344
G104	10000
H104	10000
I104	0.9662919580872598
J104	1
K104	1189.27
L104	337.7804
A105	PhyClone
B105	1000
C105	10000
D105	16
E105	5
F105	1
G105	10000
H105	10000
I105	1
J105	1
K105	1281.95
L105	158.3653
A106	CONIPHER
B106	1000
C106	10000
D106	2
E106	5
F106	1
G106	9995
H106	10000
I106	0.9853546937963338
J106	1
K106	753.8
L106	1044.9046
A107	CONIPHER
B107	1000
C107	10000
D107	4
E107	5
F107	1
G107	10000
H107	10000
I107	1
J107	1
K107	823.45
L107	1885.5448
A108	CONIPHER
B108	1000
C108	10000
D108	8
E108	5
F108	1
G108	9334
H108	10000
I108	0.8818359653713214
J108	1
K108	782.02
L108	2088.7535
A109	CONIPHER
B109	1000
C109	10000
D109	16
E109	5
F109	
G109	
H109	
I109	
J109	0
K109	796.41
L109	1989.6055
A110	fastBE
B110	1000
C110	10000
D110	2
E110	5
F110	0.993988370566549
G110	10000
H110	10000
I110	0.9966037811145184
J110	1
K110	42.28
L110	1.5755
A111	fastBE
B111	1000
C111	10000
D111	4
E111	5
F111	1
G111	10000
H111	10000
I111	1
J111	1
K111	34.74
L111	1.4023
A112	fastBE
B112	1000
C112	10000
D112	8
E112	5
F112	0.9010585690926344
G112	10000
H112	10000
I112	0.9662919580872598
J112	1
K112	41.02
L112	1.917
A113	fastBE
B113	1000
C113	10000
D113	16
E113	5
F113	1
G113	10000
H113	10000
I113	1
J113	1
K113	32.15
L113	0.8812
A114	Orchard
B114	1000
C114	10000
D114	2
E114	5
F114	0.9939878696902632
G114	9989
H114	10000
I114	0.9952347557756446
J114	1
K114	155.04
L114	15.787
A115	Orchard
B115	1000
C115	10000
D115	4
E115	5
F115	1
G115	9986
H115	10000
I115	0.999286369660516
J115	1
K115	81.37
L115	7.380800000000001
A116	Orchard
B116	1000
C116	10000
D116	8
E116	5
F116	0.9009446009778022
G116	9976
H116	10000
I116	0.9645406038962224
J116	1
K116	159.95
L116	7.7265
A117	Orchard
B117	1000
C117	10000
D117	16
E117	5
F117	1
G117	9944
H117	10000
I117	0.9971910112359552
J117	1
K117	81.5
L117	7.8424
A118	Pairtree
B118	1000
C118	10000
D118	2
E118	5
F118	0.9939878696902632
G118	9989
H118	10000
I118	0.9960545981383432
J118	1
K118	1162.3
L118	167.5548
A119	Pairtree
B119	1000
C119	10000
D119	4
E119	5
F119	1
G119	9986
H119	10000
I119	0.999286369660516
J119	1
K119	1176.12
L119	168.5209
A120	Pairtree
B120	1000
C120	10000
D120	8
E120	5
F120	0.9009446009778022
G120	9976
H120	10000
I120	0.9645406038962224
J120	1
K120	1199.17
L120	219.1514
A121	Pairtree
B121	1000
C121	10000
D121	16
E121	5
F121	1
G121	9944
H121	10000
I121	0.9971910112359552
J121	1
K121	1188.63
L121	218.6555
A122	PhyClone
B122	1000
C122	10000
D122	2
E122	6
F122	0.7885097698431962
G122	10000
H122	10000
I122	0.7402234486485738
J122	1
K122	1135.12
L122	1289.6213
A123	PhyClone
B123	1000
C123	10000
D123	4
E123	6
F123	1
G123	10000
H123	10000
I123	0.9910995874138556
J123	1
K123	1131.22
L123	311.1175
A124	PhyClone
B124	1000
C124	10000
D124	8
E124	6
F124	0.9439279493738688
G124	10000
H124	10000
I124	0.9879858047421396
J124	1
K124	1153.16
L124	191.9908
A125	PhyClone
B125	1000
C125	10000
D125	16
E125	6
F125	1
G125	10000
H125	10000
I125	1
J125	1
K125	1273.91
L125	150.2615
A126	CONIPHER
B126	1000
C126	10000
D126	2
E126	6
F126	0.7384800157261567
G126	8124
H126	10000
I126	0.1706355146622833
J126	1
K126	574.8
L126	372.4236
A127	CONIPHER
B127	1000
C127	10000
D127	4
E127	6
F127	1
G127	9993
H127	10000
I127	0.9893917354945873
J127	1
K127	682.34
L127	1183.3842
A128	CONIPHER
B128	1000
C128	10000
D128	8
E128	6
F128	1
G128	9791
H128	10000
I128	0.9562951134970726
J128	1
K128	782.1900000000001
L128	2298.1515
A129	CONIPHER
B129	1000
C129	10000
D129	16
E129	6
F129	1
G129	9999
H129	10000
I129	0.9411321421212212
J129	1
K129	945.89
L129	8477.265799999999
A130	fastBE
B130	1000
C130	10000
D130	2
E130	6
F130	0.7885097698431961
G130	10000
H130	10000
I130	0.3026409995679089
J130	1
K130	33.41
L130	1.6986
A131	fastBE
B131	1000
C131	10000
D131	4
E131	6
F131	0.9975494865390504
G131	10000
H131	10000
I131	0.990863507085159
J131	1
K131	32.16
L131	1.1222
A132	fastBE
B132	1000
C132	10000
D132	8
E132	6
F132	0.9439279493738688
G132	10000
H132	10000
I132	0.9879858047421396
J132	1
K132	32.16
L132	1.1295
A133	fastBE
B133	1000
C133	10000
D133	16
E133	6
F133	1
G133	10000
H133	10000
I133	0.1111901875966061
J133	1
K133	32.96
L133	0.8905
A134	Orchard
B134	1000
C134	10000
D134	2
E134	6
F134	0.7884604360156846
G134	9999
H134	10000
I134	0.4832222938648625
J134	1
K134	401.39
L134	8.98
A135	Orchard
B135	1000
C135	10000
D135	4
E135	6
F135	0.9975477915774192
G135	9984
H135	10000
I135	0.989829583675062
J135	1
K135	97.3
L135	13.525
A136	Orchard
B136	1000
C136	10000
D136	8
E136	6
F136	0.9438612385381639
G136	9974
H136	10000
I136	0.9862649151809459
J136	1
K136	80.43000000000001
L136	10.1669
A137	Orchard
B137	1000
C137	10000
D137	16
E137	6
F137	1
G137	9923
H137	10000
I137	0.9961319706855843
J137	1
K137	84.5
L137	8.0443
A138	Pairtree
B138	1000
C138	10000
D138	2
E138	6
F138	0.7884604360156846
G138	9999
H138	10000
I138	0.7116435773192186
J138	1
K138	1157.89
L138	154.5113
A139	Pairtree
B139	1000
C139	10000
D139	4
E139	6
F139	0.9975477915774192
G139	9984
H139	10000
I139	0.989829583675062
J139	1
K139	1138.49
L139	151.8521
A140	Pairtree
B140	1000
C140	10000
D140	8
E140	6
F140	0.9438612385381639
G140	9974
H140	10000
I140	0.9862649151809459
J140	1
K140	1161.14
L140	223.322
A141	Pairtree
B141	1000
C141	10000
D141	16
E141	6
F141	1
G141	9923
H141	10000
I141	0.9961319706855843
J141	1
K141	1188.37
L141	239.6847
A142	PhyClone
B142	1000
C142	10000
D142	2
E142	7
