cell	value
A1	program
B1	depth
C1	num_mutations
D1	num_samples
E1	mut_loss_prop
F1	run
G1	v_measure
H1	num_mutations_pred
I1	num_mutations_true
J1	ancestor_descendant_f_score
K1	Success
L1	memory
M1	time
A2	PhyClone
B2	1000
C2	600
D2	8
E2	0
F2	0
G2	0.998145020245538
H2	600
I2	600
J2	0.9999445128785608
K2	1
L2	1091.22
M2	831.7663
A3	PhyClone
B3	1000
C3	600
D3	8
E3	0.1
F3	0
G3	0.9978795825921752
H3	572
I3	600
J3	0.99983425516111
K3	1
L3	1062.42
M3	1091.3806
A4	PhyClone
B4	1000
C4	600
D4	8
E4	0.2
F4	0
G4	0.9980471249792934
H4	542
I4	600
J4	0.9999307373699594
K4	1
L4	1064.58
M4	1002.6341
A5	PhyClone-N
B5	1000
C5	600
D5	8
E5	0
F5	0
G5	0.998145020245538
H5	600
I5	600
J5	0.9999445128785608
K5	1
L5	1081.75
M5	821.4442
A6	PhyClone-N
B6	1000
C6	600
D6	8
E6	0.1
F6	0
G6	0.9981206601238838
H6	600
I6	600
J6	0.9284960978696476
K6	1
L6	1069.06
M6	1041.9088
A7	PhyClone-N
B7	1000
C7	600
D7	8
E7	0.2
F7	0
G7	0.998402130725652
H7	600
I7	600
J7	0.825224071702945
K7	1
L7	1057.87
M7	778.3967
A8	PhyClone
B8	1000
C8	600
D8	8
E8	0
F8	1
G8	0.9971227663553696
H8	599
I8	600
J8	0.9970068810878084
K8	1
L8	1091.53
M8	1225.299
A9	PhyClone
B9	1000
C9	600
D9	8
E9	0.1
F9	1
G9	0.9947156019274274
H9	550
I9	600
J9	0.9944158636995496
K9	1
L9	1088.48
M9	1566.6018
A10	PhyClone
B10	1000
C10	600
D10	8
E10	0.2
F10	1
G10	0.9924070835945642
H10	446
I10	600
J10	0.8245609443295732
K10	1
L10	1103.16
M10	2684.7733
A11	PhyClone-N
B11	1000
C11	600
D11	8
E11	0
F11	1
G11	0.9958172402185425
H11	600
I11	600
J11	0.9997897101590508
K11	1
L11	1074.26
M11	1283.6984
A12	PhyClone-N
B12	1000
C12	600
D12	8
E12	0.1
F12	1
G12	0.9796924318336472
H12	600
I12	600
J12	0.8652999583926195
K12	1
L12	1141.13
M12	1617.9807
A13	PhyClone-N
B13	1000
C13	600
D13	8
E13	0.2
F13	1
G13	0.96171768042147
H13	600
I13	600
J13	0.7254384168490036
K13	1
L13	1156.01
M13	2525.1563
A14	PhyClone
B14	1000
C14	600
D14	8
E14	0
F14	2
G14	0.9977169236743072
H14	600
I14	600
J14	0.9999837342832512
K14	1
L14	1046.07
M14	558.4552
A15	PhyClone
B15	1000
C15	600
D15	8
E15	0.1
F15	2
G15	0.9990127750006952
H15	571
I15	600
J15	0.999994017528641
K15	1
L15	1098
M15	699.6339
A16	PhyClone
B16	1000
C16	600
D16	8
E16	0.2
F16	2
G16	0.9974754490409266
H16	530
I16	600
J16	0.9999790264057552
K16	1
L16	1060.63
M16	791.1790999999999
A17	PhyClone-N
B17	1000
C17	600
D17	8
E17	0
F17	2
G17	0.9977169236743072
H17	600
I17	600
J17	0.9999837342832512
K17	1
L17	1088.59
M17	683.4133
A18	PhyClone-N
B18	1000
C18	600
D18	8
E18	0.1
F18	2
G18	0.9988328009384904
H18	600
I18	600
J18	0.9231143068579696
K18	1
L18	1101.87
M18	768.2795
A19	PhyClone-N
B19	1000
C19	600
D19	8
E19	0.2
F19	2
G19	0.9773787174313826
H19	600
I19	600
J19	0.7306932623294804
K19	1
L19	1101.39
M19	1230.0429
A20	PhyClone
B20	1000
C20	600
D20	8
E20	0
F20	3
G20	1
H20	600
I20	600
J20	1
K20	1
L20	1057.37
M20	216.5081
A21	PhyClone
B21	1000
C21	600
D21	8
E21	0.1
F21	3
G21	1
H21	556
I21	600
J21	1
K21	1
L21	1044.33
M21	257.6585
A22	PhyClone
B22	1000
C22	600
D22	8
E22	0.2
F22	3
G22	1
H22	498
I22	600
J22	1
K22	1
L22	1089.74
M22	330.369
A23	PhyClone-N
B23	1000
C23	600
D23	8
E23	0
F23	3
G23	1
H23	600
I23	600
J23	1
K23	1
L23	1015.05
M23	194.4003
A24	PhyClone-N
B24	1000
C24	600
D24	8
E24	0.1
F24	3
G24	1
H24	600
I24	600
J24	0.8419712675031824
K24	1
L24	1033.27
M24	271.3764
A25	PhyClone-N
B25	1000
C25	600
D25	8
E25	0.2
F25	3
G25	0.9723791029267308
H25	600
I25	600
J25	0.6886037855389245
K25	1
L25	1100.77
M25	272.6048
A26	PhyClone
B26	1000
C26	600
D26	8
E26	0
F26	4
G26	0.9988129768265752
H26	600
I26	600
J26	0.999989566487558
K26	1
L26	1058.09
M26	628.4095
A27	PhyClone
B27	1000
C27	600
D27	8
E27	0.1
F27	4
G27	1
H27	557
I27	600
J27	1
K27	1
L27	1105.12
M27	1114.8088
A28	PhyClone
B28	1000
C28	600
D28	8
E28	0.2
F28	4
G28	0.9986642421727676
H28	510
I28	600
J28	0.983177624921168
K28	1
L28	1051.64
M28	926.1675
A29	PhyClone-N
B29	1000
C29	600
D29	8
E29	0
F29	4
G29	0.9988129768265752
H29	600
I29	600
J29	0.999989566487558
K29	1
L29	1101.91
M29	622.4326
A30	PhyClone-N
B30	1000
C30	600
D30	8
E30	0.1
F30	4
G30	0.9829661946684042
H30	600
I30	600
J30	0.7949675542396137
K30	1
L30	1142.56
M30	699.7142
A31	PhyClone-N
B31	1000
C31	600
D31	8
E31	0.2
F31	4
G31	0.9689266710235126
H31	600
I31	600
J31	0.7573695643762471
K31	1
L31	1139.35
M31	1110.0425
A32	PhyClone
B32	1000
C32	600
D32	8
E32	0
F32	5
G32	1
H32	600
I32	600
J32	1
K32	1
L32	956.89
M32	166.9982
A33	PhyClone
B33	1000
C33	600
D33	8
E33	0.1
F33	5
G33	1
H33	552
I33	600
J33	1
K33	1
L33	984.87
M33	187.4902
A34	PhyClone
B34	1000
C34	600
D34	8
E34	0.2
F34	5
G34	1
H34	587
I34	600
J34	0.7462633451957296
K34	1
L34	1026.07
M34	254.7457
A35	PhyClone-N
B35	1000
C35	600
D35	8
E35	0
F35	5
G35	1
H35	600
I35	600
J35	1
K35	1
L35	958.67
M35	155.6808
A36	PhyClone-N
B36	1000
C36	600
D36	8
E36	0.1
F36	5
G36	0.9953980585627308
H36	600
I36	600
J36	0.8265050000664019
K36	1
L36	993.5
M36	186.2364
A37	PhyClone-N
B37	1000
C37	600
D37	8
E37	0.2
F37	5
G37	0.9717063798480138
H37	600
I37	600
J37	0.7128712871287128
K37	1
L37	1042.34
M37	257.8914
A38	PhyClone
B38	1000
C38	600
D38	8
E38	0
F38	6
G38	1
H38	599
I38	600
J38	0.9961861858018608
K38	1
L38	1022.69
M38	234.4424
A39	PhyClone
B39	1000
C39	600
D39	8
E39	0.1
F39	6
G39	1
H39	544
I39	600
J39	0.9958973192279984
K39	1
L39	1093.75
M39	388.0223
A40	PhyClone
B40	1000
C40	600
D40	8
E40	0.2
F40	6
G40	0.9959959182327348
H40	502
I40	600
J40	0.9002941842045712
K40	1
L40	1089.23
M40	670.1904
A41	PhyClone-N
B41	1000
C41	600
D41	8
E41	0
F41	6
G41	1
H41	600
I41	600
J41	1
K41	1
L41	1101.88
M41	271.9893
A42	PhyClone-N
B42	1000
C42	600
D42	8
E42	0.1
F42	6
G42	0.9802062175532652
H42	600
I42	600
J42	0.8499496087456109
K42	1
L42	1081.08
M42	333.6834
A43	PhyClone-N
B43	1000
C43	600
D43	8
E43	0.2
F43	6
G43	0.9410251705848226
H43	600
I43	600
J43	0.6529534328471638
K43	1
L43	1134.54
M43	454.3693
A44	PhyClone
B44	1000
C44	600
D44	8
E44	0
F44	7
G44	0.9805698967377848
H44	600
I44	600
J44	0.9593505588803396
K44	1
L44	1121.88
M44	2832.9106
A45	PhyClone
B45	1000
C45	600
D45	8
E45	0.1
F45	7
G45	0.9793150519137156
H45	558
I45	600
J45	0.957705423200248
K45	1
L45	1153.38
M45	3742.633
A46	PhyClone
B46	1000
C46	600
D46	8
E46	0.2
F46	7
G46	0.9782312692010918
H46	517
I46	600
J46	0.9559295001320122
K46	1
L46	1147.38
M46	3017.8783
A47	PhyClone-N
B47	1000
C47	600
D47	8
E47	0
F47	7
G47	0.9805698967377848
H47	600
I47	600
J47	0.9635840310410356
K47	1
L47	1151.58
M47	2993.7255
A48	PhyClone-N
B48	1000
C48	600
D48	8
E48	0.1
F48	7
G48	0.9703013110030784
H48	600
I48	600
J48	0.8558432643879686
K48	1
L48	1160.45
M48	4159.9522
A49	PhyClone-N
B49	1000
C49	600
D49	8
E49	0.2
F49	7
G49	0.9505406551669074
H49	600
I49	600
J49	0.7962331226659006
K49	1
L49	1163.6
M49	2711.2947
A50	PhyClone
B50	1000
C50	600
D50	8
E50	0
F50	8
G50	0.9964767654648464
H50	599
I50	600
J50	0.9972228358632876
K50	1
L50	1120.79
M50	1258.6305
A51	PhyClone
B51	1000
C51	600
D51	8
E51	0.1
F51	8
G51	0.9991352132294078
H51	565
I51	600
J51	0.991451203282366
K51	1
L51	1128.73
M51	1459.7107
A52	PhyClone
B52	1000
C52	600
D52	8
E52	0.2
F52	8
G52	0.9990292834941004
H52	511
I52	600
J52	0.9706916436584768
K52	1
L52	1112.64
M52	1334.3029
A53	PhyClone-N
B53	1000
C53	600
D53	8
E53	0
F53	8
G53	0.996508511804707
H53	600
I53	600
J53	0.9917292957052126
K53	1
L53	1140.87
M53	1094.5031
A54	PhyClone-N
B54	1000
C54	600
D54	8
E54	0.1
F54	8
G54	0.9992586168568548
H54	600
I54	600
J54	0.8450621166850134
K54	1
L54	1083.98
M54	1014.0535
A55	PhyClone-N
B55	1000
C55	600
D55	8
E55	0.2
F55	8
G55	0.9702138311675504
H55	600
I55	600
J55	0.7338075136763417
K55	1
L55	1120.05
M55	1465.8511
A56	PhyClone
B56	1000
C56	600
D56	8
E56	0
F56	9
G56	1
H56	600
I56	600
J56	1
K56	1
L56	1050.93
M56	324.5695
A57	PhyClone
B57	1000
C57	600
D57	8
E57	0.1
F57	9
G57	1
H57	547
I57	600
J57	0.9999749448787332
K57	1
L57	1043.7
M57	316.3245
A58	PhyClone
B58	1000
C58	600
D58	8
E58	0.2
F58	9
G58	1
H58	438
I58	600
J58	0.464620589656839
K58	1
L58	1051.86
M58	403.3335
A59	PhyClone-N
B59	1000
C59	600
D59	8
E59	0
F59	9
G59	1
H59	600
I59	600
J59	1
K59	1
L59	1042.89
M59	263.7336
A60	PhyClone-N
B60	1000
C60	600
D60	8
E60	0.1
F60	9
G60	1
H60	600
I60	600
J60	0.733580231030078
K60	1
L60	1060.62
M60	267.0076
A61	PhyClone-N
B61	1000
C61	600
D61	8
E61	0.2
F61	9
G61	0.9700826290351068
H61	600
I61	600
J61	0.5409773251705082
K61	1
L61	1102.84
M61	421.8008
A62	PhyClone
B62	1000
C62	600
D62	8
E62	0
F62	10
G62	1
H62	600
I62	600
J62	1
K62	1
L62	998.9400000000001
M62	144.23
A63	PhyClone
B63	1000
C63	600
D63	8
E63	0.1
F63	10
G63	1
H63	542
I63	600
J63	1
K63	1
L63	1049.64
M63	253.9302
A64	PhyClone
B64	1000
C64	600
D64	8
E64	0.2
F64	10
G64	1
H64	484
I64	600
J64	1
K64	1
L64	1042.39
M64	283.4507
A65	PhyClone-N
B65	1000
C65	600
D65	8
E65	0
F65	10
G65	1
H65	600
I65	600
J65	1
K65	1
L65	969.9400000000001
M65	134.7632
A66	PhyClone-N
B66	1000
C66	600
D66	8
E66	0.1
F66	10
G66	0.971042069421002
H66	600
I66	600
J66	0.8706755201004733
K66	1
L66	1044.12
M66	209.7704
A67	PhyClone-N
B67	1000
C67	600
D67	8
E67	0.2
F67	10
G67	0.9467318327570096
H67	600
I67	600
J67	0.7435844821260905
K67	1
L67	1041.37
M67	261.3388
A68	PhyClone
B68	1000
C68	600
D68	8
E68	0
F68	11
G68	0.9936578424840564
H68	599
I68	600
J68	0.993469830044485
K68	1
L68	1141.93
M68	2233.3158
A69	PhyClone
B69	1000
C69	600
D69	8
E69	0.1
F69	11
G69	0.9949660210813628
H69	572
I69	600
J69	0.8245479820125763
K69	1
L69	1147.32
M69	3516.5169
A70	PhyClone
B70	1000
C70	600
D70	8
E70	0.2
F70	11
G70	0.9919018502876176
H70	539
I70	600
J70	0.9751708309425696
K70	1
L70	1134.61
M70	2990.2662
A71	PhyClone-N
B71	1000
C71	600
D71	8
E71	0
F71	11
G71	0.9980762189110304
H71	600
I71	600
J71	0.9999379140061226
K71	1
L71	1123.94
M71	2928.7724
A72	PhyClone-N
B72	1000
C72	600
D72	8
E72	0.1
F72	11
G72	0.975511843746262
H72	600
I72	600
J72	0.7675194793563602
K72	1
L72	1160
M72	4336.6497
A73	PhyClone-N
B73	1000
C73	600
D73	8
E73	0.2
F73	11
G73	0.956706812350442
H73	600
I73	600
J73	0.6754069327692336
K73	1
L73	1163.71
M73	4738.7542
A74	PhyClone
B74	1000
C74	600
D74	8
E74	0
F74	12
G74	0.9986625478396252
H74	600
I74	600
J74	0.9999840463718792
K74	1
L74	1071.74
M74	338.0343
A75	PhyClone
B75	1000
C75	600
D75	8
E75	0.1
F75	12
G75	0.998585901969648
H75	562
I75	600
J75	0.9999814417301256
K75	1
L75	1089.36
M75	487.8787
A76	PhyClone
B76	1000
C76	600
D76	8
E76	0.2
F76	12
G76	0.9984343094856948
H76	512
I76	600
J76	0.9999770826171652
K76	1
L76	1044.58
M76	659.9083000000001
A77	PhyClone-N
B77	1000
C77	600
D77	8
E77	0
F77	12
G77	0.9986625478396252
H77	600
I77	600
J77	0.9999840463718792
K77	1
L77	1045.97
M77	261.8798
A78	PhyClone-N
B78	1000
C78	600
D78	8
E78	0.1
F78	12
G78	0.9856457250887712
H78	600
I78	600
J78	0.9166378415773088
K78	1
L78	1101.7
M78	428.0074
A79	PhyClone-N
B79	1000
C79	600
D79	8
E79	0.2
F79	12
G79	0.9533644342726406
H79	600
I79	600
J79	0.761901957897836
K79	1
L79	1105.86
M79	691.4059
A80	PhyClone
B80	1000
C80	600
D80	8
E80	0
F80	13
G80	0.9967570898062256
H80	532
I80	600
J80	0.8641314784628096
K80	1
L80	1126.02
M80	1892.034
A81	PhyClone
B81	1000
C81	600
D81	8
E81	0.1
F81	13
G81	0.9963161777084344
H81	509
I81	600
J81	0.8702861072643171
K81	1
L81	1177.97
M81	3107.883
A82	PhyClone
B82	1000
C82	600
D82	8
E82	0.2
F82	13
G82	0.9975304889681906
H82	521
I82	600
J82	0.9974089804204396
K82	1
L82	1156.27
M82	2835.8351
A83	PhyClone-N
B83	1000
C83	600
D83	8
E83	0
F83	13
G83	0.997399758219522
H83	600
I83	600
J83	0.9995004621708262
K83	1
L83	1154.22
M83	1992.9615
A84	PhyClone-N
B84	1000
C84	600
D84	8
E84	0.1
F84	13
G84	0.9887793146853268
H84	600
I84	600
J84	0.9067136900792918
K84	1
L84	1166.77
M84	3109.9221
A85	PhyClone-N
B85	1000
C85	600
D85	8
E85	0.2
F85	13
G85	0.9672969028544494
H85	600
I85	600
J85	0.7946746289926498
K85	1
L85	1169.45
M85	2921.0746
A86	PhyClone
B86	1000
C86	600
D86	8
E86	0
F86	14
G86	1
H86	600
I86	600
J86	1
K86	1
L86	928.25
M86	76.6404
A87	PhyClone
B87	1000
C87	600
D87	8
E87	0.1
F87	14
G87	1
H87	544
I87	600
J87	1
K87	1
L87	985.6
M87	119.0497
A88	PhyClone
B88	1000
C88	600
D88	8
E88	0.2
F88	14
G88	1
H88	491
I88	600
J88	1
K88	1
L88	942.02
M88	95.46250000000001
A89	PhyClone-N
B89	1000
C89	600
D89	8
E89	0
F89	14
G89	1
H89	600
I89	600
J89	1
K89	1
L89	933.02
M89	70.1328
A90	PhyClone-N
B90	1000
C90	600
D90	8
E90	0.1
F90	14
G90	1
H90	600
I90	600
J90	0.6835162786361836
K90	1
L90	956.96
M90	129.7635
A91	PhyClone-N
B91	1000
C91	600
D91	8
E91	0.2
F91	14
G91	1
H91	600
I91	600
J91	0.5267157158364492
K91	1
L91	939.4
M91	103.5149
A92	PhyClone
B92	1000
C92	600
D92	8
E92	0
F92	15
G92	0.998545126001522
H92	599
I92	600
J92	0.9980626713554924
K92	1
L92	1135.21
M92	1416.0843
A93	PhyClone
B93	1000
C93	600
D93	8
E93	0.1
F93	15
G93	0.9974060531666206
H93	563
I93	600
J93	0.980312264796926
K93	1
L93	1147.54
M93	1586.425
A94	PhyClone
B94	1000
C94	600
D94	8
E94	0.2
F94	15
G94	0.9973001467683416
H94	502
I94	600
J94	0.9999510999028984
K94	1
L94	1138.07
M94	1833.8209
A95	PhyClone-N
B95	1000
C95	600
D95	8
E95	0
F95	15
G95	0.9970463716927648
H95	600
I95	600
J95	0.9995790339318232
K95	1
L95	1146.33
M95	1584.3503
A96	PhyClone-N
B96	1000
C96	600
D96	8
E96	0.1
F96	15
G96	0.9758606108370164
H96	600
I96	600
J96	0.8914247512277905
K96	1
L96	1161.62
M96	3075.014
A97	PhyClone-N
B97	1000
C97	600
D97	8
E97	0.2
F97	15
G97	0.9583669487447212
H97	600
I97	600
J97	0.7637821762089605
K97	1
L97	1167.99
M97	2543.8714
A98	PhyClone
B98	1000
C98	600
D98	8
E98	0
F98	16
G98	0.993065249900296
H98	599
I98	600
J98	0.9965044712744739
K98	1
L98	1082.1
M98	1499.1036
A99	PhyClone
B99	1000
C99	600
D99	8
E99	0.1
F99	16
G99	0.984326482037258
H99	556
I99	600
J99	0.9801940963022244
K99	1
L99	1104.33
M99	1665.2111
A100	PhyClone
B100	1000
C100	600
D100	8
E100	0.2
F100	16
G100	0.9731848561203332
H100	425
I100	600
J100	0.6201630201630202
K100	1
L100	1076.5
M100	1546.7713
A101	PhyClone-N
B101	1000
C101	600
D101	8
E101	0
F101	16
G101	0.9863727586695092
H101	600
I101	600
J101	0.9871354757759246
K101	1
L101	1067.21
M101	1423.2548
A102	PhyClone-N
B102	1000
C102	600
D102	8
E102	0.1
F102	16
G102	0.9914273196927202
H102	600
I102	600
J102	0.8244990577787051
K102	1
L102	1102.15
M102	1317.2312
A103	PhyClone-N
B103	1000
C103	600
D103	8
E103	0.2
F103	16
G103	0.987991883642685
H103	600
I103	600
J103	0.7056713347674207
K103	1
L103	1084.35
M103	1220.765
A104	PhyClone
B104	1000
C104	600
D104	8
E104	0
F104	17
G104	1
H104	600
I104	600
J104	1
K104	1
L104	985.1
M104	189.7947
A105	PhyClone
B105	1000
C105	600
D105	8
E105	0.1
F105	17
G105	1
H105	550
I105	600
J105	1
K105	1
L105	1041.53
M105	366.4326
A106	PhyClone
B106	1000
C106	600
D106	8
E106	0.2
F106	17
G106	1
H106	500
I106	600
J106	1
K106	1
L106	1042.9
M106	371.355
A107	PhyClone-N
B107	1000
C107	600
D107	8
E107	0
F107	17
G107	1
H107	600
I107	600
J107	1
K107	1
L107	1031
M107	179.3606
A108	PhyClone-N
B108	1000
C108	600
D108	8
E108	0.1
F108	17
G108	0.9817831756233194
H108	600
I108	600
J108	0.8460960546231949
K108	1
L108	1043.67
M108	225.3091
A109	PhyClone-N
B109	1000
C109	600
D109	8
E109	0.2
F109	17
G109	0.9699634548655122
H109	600
I109	600
J109	0.7919519199311758
K109	1
L109	1050.12
M109	261.9261
A110	PhyClone
B110	1000
C110	600
D110	8
E110	0
F110	18
G110	0.998428596865765
H110	600
I110	600
J110	1
K110	1
L110	1044.04
M110	442.107
A111	PhyClone
B111	1000
C111	600
D111	8
E111	0.1
F111	18
G111	0.9983879707662718
H111	552
I111	600
J111	1
K111	1
L111	1054.74
M111	783.8570999999999
A112	PhyClone
B112	1000
C112	600
D112	8
E112	0.2
F112	18
G112	1
H112	502
I112	600
J112	0.9913045387672648
K112	1
L112	1095.19
M112	738.7463
A113	PhyClone-N
B113	1000
C113	600
D113	8
E113	0
F113	18
G113	0.9984285968657648
H113	600
I113	600
J113	0.9937114545076572
K113	1
L113	1046.59
M113	480.4789
A114	PhyClone-N
B114	1000
C114	600
D114	8
E114	0.1
F114	18
G114	0.9962650322149408
H114	600
I114	600
J114	0.7893719289933594
K114	1
L114	1061.37
M114	527.7414
A115	PhyClone-N
B115	1000
C115	600
D115	8
E115	0.2
F115	18
G115	0.9989829346359153
H115	600
I115	600
J115	0.6650500195445398
K115	1
L115	1063.87
M115	510.5376
A116	PhyClone
B116	1000
C116	600
D116	8
E116	0
F116	19
G116	1
H116	600
I116	600
J116	1
K116	1
L116	986.35
M116	190.2055
A117	PhyClone
B117	1000
C117	600
D117	8
E117	0.1
F117	19
G117	1
H117	551
I117	600
J117	1
K117	1
L117	1043.35
M117	291.6459
A118	PhyClone
B118	1000
C118	600
D118	8
E118	0.2
F118	19
G118	1
H118	491
I118	600
J118	1
K118	1
L118	1052.39
M118	492.477
A119	PhyClone-N
B119	1000
C119	600
D119	8
E119	0
F119	19
G119	1
H119	600
I119	600
J119	1
K119	1
L119	986.64
M119	178.7321
A120	PhyClone-N
B120	1000
C120	600
D120	8
E120	0.1
F120	19
G120	0.9830779428123988
H120	600
I120	600
J120	0.8834752403947982
K120	1
L120	1083.61
M120	362.9047
A121	PhyClone-N
B121	1000
C121	600
D121	8
E121	0.2
F121	19
G121	0.931143049454446
H121	600
I121	600
J121	0.7413402982773554
K121	1
L121	1137.39
M121	656.0278
A122	PhyClone
B122	1000
C122	600
D122	8
E122	0
F122	20
G122	1
H122	600
I122	600
J122	1
K122	1
L122	1035.88
M122	285.3764
A123	PhyClone
B123	1000
C123	600
D123	8
E123	0.1
F123	20
G123	1
H123	561
I123	600
J123	0.9996549004141196
K123	1
L123	1050.51
M123	285.5849
A124	PhyClone
B124	1000
C124	600
D124	8
E124	0.2
F124	20
G124	1
H124	502
I124	600
J124	0.9996445021484436
K124	1
L124	1047.28
M124	451.7714
A125	PhyClone-N
B125	1000
C125	600
D125	8
E125	0
F125	20
G125	1
H125	600
I125	600
J125	0.9996869514662968
K125	1
L125	1031.91
M125	236.0742
A126	PhyClone-N
B126	1000
C126	600
D126	8
E126	0.1
F126	20
G126	1
H126	600
I126	600
J126	0.8451969919122168
K126	1
L126	1057.65
M126	324.0841
A127	PhyClone-N
B127	1000
C127	600
D127	8
E127	0.2
F127	20
G127	0.9643506093070112
H127	600
I127	600
J127	0.7458641587332707
K127	1
L127	1134.37
M127	343.9657
A128	PhyClone
B128	1000
C128	600
D128	8
E128	0
F128	21
G128	1
H128	600
I128	600
J128	1
K128	1
L128	953.0700000000001
M128	166.2939
A129	PhyClone
B129	1000
C129	600
D129	8
E129	0.1
F129	21
G129	1
H129	541
I129	600
J129	1
K129	1
L129	1021.84
M129	248.2128
A130	PhyClone
B130	1000
C130	600
D130	8
E130	0.2
F130	21
G130	1
H130	482
I130	600
J130	1
K130	1
L130	1036.46
M130	230.7308
A131	PhyClone-N
B131	1000
C131	600
D131	8
E131	0
F131	21
G131	1
H131	600
I131	600
J131	1
K131	1
L131	962.45
M131	123.9888
A132	PhyClone-N
B132	1000
C132	600
D132	8
E132	0.1
F132	21
G132	0.9753126206214529
H132	600
I132	600
J132	0.8079050165083016
K132	1
L132	1025.4
M132	201.3895
A133	PhyClone-N
B133	1000
C133	600
D133	8
E133	0.2
F133	21
G133	0.9430816816368564
H133	600
I133	600
J133	0.6372488163483891
K133	1
L133	1040.49
M133	208.096
A134	PhyClone
B134	1000
C134	600
D134	8
E134	0
F134	22
G134	1
H134	600
I134	600
J134	1
K134	1
L134	1054.97
M134	280.0631
A135	PhyClone
B135	1000
C135	600
D135	8
E135	0.1
F135	22
G135	1
