cell	value
A1	program
B1	depth
C1	num_clusters
D1	num_mutations
E1	num_samples
F1	run
G1	v_measure
H1	num_mutations_pred
I1	num_mutations_true
J1	ancestor_descendant_f_score
K1	Success
L1	memory
M1	time
A2	PhyClone
B2	1000
C2	100
D2	2000
E2	100
F2	1
G2	0.6977136847280894
H2	1958
I2	2000
J2	0.655843492021258
K2	1
L2	4092.3
M2	12721.7684
A3	PhyClone
B3	200
C3	100
D3	10000
E3	100
F3	4
G3	0.7107214196205299
H3	10000
I3	10000
J3	0.4744842913921333
K3	1
L3	5250.93
M3	8886.339899999999
A4	PhyClone
B4	200
C4	100
D4	1000
E4	100
F4	1
G4	0.6822655572637495
H4	1000
I4	1000
J4	0.5179067975476566
K4	1
L4	3771.55
M4	9402.075199999999
A5	PhyClone
B5	200
C5	100
D5	2000
E5	100
F5	1
G5	0.7121292973686384
H5	2000
I5	2000
J5	0.4185793066852296
K5	1
L5	3984.25
M5	14492.8596
A6	PhyClone
B6	200
C6	100
D6	2000
E6	100
F6	2
G6	0.6681264597442922
H6	2000
I6	2000
J6	0.6139930881168252
K6	1
L6	3959.02
M6	6230.1565
A7	PhyClone
B7	50
C7	100
D7	10000
E7	100
F7	4
G7	0.6860246610060269
H7	10000
I7	10000
J7	0.6602106664933253
K7	1
L7	5110.84
M7	9847.606
A8	PhyClone
B8	1000
C8	100
D8	10000
E8	10
F8	3
G8	0.625756124281441
H8	10000
I8	10000
J8	0.5730135688990252
K8	1
L8	1594.42
M8	2787.9177
A9	PhyClone
B9	1000
C9	100
D9	2000
E9	10
F9	3
G9	0.6799001132247946
H9	2000
I9	2000
J9	0.6243287684910435
K9	1
L9	1432.02
M9	3096.5962
A10	PhyClone
B10	200
C10	100
D10	10000
E10	10
F10	2
G10	0.6423747413472962
H10	10000
I10	10000
J10	0.6970983267525512
K10	1
L10	1544.16
M10	2233.0088
A11	PhyClone
B11	200
C11	100
D11	10000
E11	10
F11	3
G11	0.6800327292344014
H11	10000
I11	10000
J11	0.6584151541663468
K11	1
L11	1558.91
M11	1589.4156
A12	PhyClone
B12	200
C12	100
D12	1000
E12	10
F12	4
G12	0.6242458569670201
H12	1000
I12	1000
J12	0.2917457029477138
K12	1
L12	1402.27
M12	3362.7005
A13	PhyClone
B13	50
C13	100
D13	10000
E13	10
F13	1
G13	0.6274356972896857
H13	10000
I13	10000
J13	0.5084663638985997
K13	1
L13	1643.35
M13	5617.527599999999
A14	PhyClone
B14	50
C14	100
D14	10000
E14	10
F14	3
G14	0.5288996976481419
H14	10000
I14	10000
J14	0.4585417959490941
K14	1
L14	1569.14
M14	3312.9431
A15	PhyClone
B15	50
C15	100
D15	1000
E15	10
F15	1
G15	0.4026406932316104
H15	1000
I15	1000
J15	0.6057190805308367
K15	1
L15	1329.89
M15	599.2007
A16	PhyClone
B16	50
C16	100
D16	1000
E16	10
F16	3
G16	0.4882173671409235
H16	1000
I16	1000
J16	0.3084669610349368
K16	1
L16	1353.98
M16	1006.0804
A17	PhyClone
B17	50
C17	100
D17	2000
E17	10
F17	4
G17	0.5002149398616988
H17	2000
I17	2000
J17	0.406546647235645
K17	1
L17	1359.26
M17	972.2741
A18	PhyClone
B18	1000
C18	100
D18	10000
E18	30
F18	2
G18	0.6979413055209268
H18	10000
I18	10000
J18	0.4987866978641518
K18	1
L18	2343.21
M18	4151.2268
A19	PhyClone
B19	1000
C19	100
D19	2000
E19	30
F19	1
G19	0.6638814191019318
H19	2000
I19	2000
J19	0.5590979066871929
K19	1
L19	1961.87
M19	4183.3053
A20	PhyClone
B20	1000
C20	100
D20	2000
E20	30
F20	2
G20	0.7341307883553689
H20	2000
I20	2000
J20	0.4709042212650536
K20	1
L20	1988.99
M20	7521.9837
A21	PhyClone
B21	200
C21	100
D21	10000
E21	30
F21	4
G21	0.6508160052616643
H21	10000
I21	10000
J21	0.4968945022069828
K21	1
L21	2316.78
M21	2447.9461
A22	PhyClone
B22	200
C22	100
D22	1000
E22	30
F22	2
G22	0.686265823541237
H22	1000
I22	1000
J22	0.7618955432332647
K22	1
L22	1858.62
M22	3600.6864
A23	PhyClone
B23	200
C23	100
D23	2000
E23	30
F23	3
G23	0.709821131438399
H23	2000
I23	2000
J23	0.7211339178493766
K23	1
L23	1970.57
M23	3577.4182
A24	PhyClone
B24	50
C24	100
D24	10000
E24	30
F24	2
G24	0.6181987109651003
H24	10000
I24	10000
J24	0.6308854393991172
K24	1
L24	2325.4
M24	1774.0532
A25	PhyClone
B25	50
C25	100
D25	10000
E25	30
F25	3
G25	0.6262103406754864
H25	10000
I25	10000
J25	0.5725686302366549
K25	1
L25	2273.75
M25	1481.696
A26	PhyClone
B26	50
C26	100
D26	2000
E26	30
F26	1
G26	0.6290315690536087
H26	2000
I26	2000
J26	0.4747938493534701
K26	1
L26	1886.1
M26	1964.6302
A27	PhyClone
B27	50
C27	100
D27	2000
E27	30
F27	2
G27	0.6262502294379102
H27	2000
I27	2000
J27	0.6522237742942384
K27	1
L27	1917.32
M27	2489.8503
A28	PhyClone
B28	50
C28	100
D28	2000
E28	30
F28	3
G28	0.5570648061513814
H28	2000
I28	2000
J28	0.6526009857848245
K28	1
L28	1911.99
M28	996.538
A29	PhyClone
B29	1000
C29	10
D29	1000
E29	100
F29	3
G29	1
H29	1000
I29	1000
J29	1
K29	1
L29	1947.2
M29	616.5981999999999
A30	PhyClone
B30	1000
C30	10
D30	1000
E30	100
F30	4
G30	0.9942025585426454
H30	1000
I30	1000
J30	0.9992341898494416
K30	1
L30	1945.77
M30	574.5134
A31	PhyClone
B31	1000
C31	10
D31	200
E31	100
F31	1
G31	1
H31	198
I31	200
J31	0.9910521847038076
K31	1
L31	3452.27
M31	1011.1729
A32	PhyClone
B32	200
C32	10
D32	1000
E32	100
F32	3
G32	1
H32	1000
I32	1000
J32	1
K32	1
L32	1780.34
M32	466.579
A33	PhyClone
B33	200
C33	10
D33	1000
E33	100
F33	4
G33	1
H33	1000
I33	1000
J33	1
K33	1
L33	2158.88
M33	648.3791
A34	PhyClone
B34	200
C34	10
D34	100
E34	100
F34	3
G34	1
H34	99
I34	100
J34	0.9975355450236968
K34	1
L34	2831.78
M34	768.8906999999999
A35	PhyClone
B35	200
C35	10
D35	200
E35	100
F35	3
G35	1
H35	199
I35	200
J35	0.9974683544303796
K35	1
L35	2508.34
M35	797.8031
A36	PhyClone
B36	50
C36	10
D36	100
E36	100
F36	4
G36	0.9583319810258224
H36	99
I36	100
J36	0.9753017641597028
K36	1
L36	2645.06
M36	667.6691
A37	PhyClone
B37	50
C37	10
D37	200
E37	100
F37	2
G37	0.94530803200837
H37	200
I37	200
J37	0.9765021290017348
K37	1
L37	1294.49
M37	372.7698
A38	PhyClone
B38	1000
C38	10
D38	100
E38	10
F38	1
G38	0.9724558663141104
H38	100
I38	100
J38	0.9927614911328266
K38	1
L38	1158.08
M38	414.5248
A39	PhyClone
B39	1000
C39	10
D39	200
E39	10
F39	4
G39	0.9872522812782836
H39	200
I39	200
J39	0.9991955445544556
K39	1
L39	1053.11
M39	328.217
A40	PhyClone
B40	200
C40	10
D40	1000
E40	10
F40	2
G40	0.9147629139108204
H40	1000
I40	1000
J40	0.5889072349086679
K40	1
L40	1274.74
M40	474.5344
A41	PhyClone
B41	200
C41	10
D41	100
E41	10
F41	2
G41	0.8263130719805372
H41	100
I41	100
J41	0.7130739982451009
K41	1
L41	1061.21
M41	344.8779
A42	PhyClone
B42	200
C42	10
D42	200
E42	10
F42	4
G42	0.987070138526759
H42	200
I42	200
J42	0.9975808225203432
K42	1
L42	1072.81
M42	317.081
A43	PhyClone
B43	50
C43	10
D43	100
E43	10
F43	1
G43	0.884508953506723
H43	100
I43	100
J43	0.7782920989624901
K43	1
L43	1047.09
M43	215.1348
A44	PhyClone
B44	50
C44	10
D44	100
E44	10
F44	3
G44	0.8452369993473704
H44	100
I44	100
J44	0.9403806827119712
K44	1
L44	1081.36
M44	210.1557
A45	PhyClone
B45	50
C45	10
D45	200
E45	10
F45	1
G45	0.8642436840438243
H45	200
I45	200
J45	0.6332478875913795
K45	1
L45	1142.98
M45	451.4121
A46	PhyClone
B46	1000
C46	10
D46	1000
E46	1
F46	4
G46	0.5907066107833128
H46	1000
I46	1000
J46	0.0654978157967135
K46	1
L46	1007.77
M46	206.297
A47	PhyClone
B47	200
C47	10
D47	100
E47	1
F47	1
G47	0.5364157680541127
H47	100
I47	100
J47	0.1480828558836492
K47	1
L47	1007.15
M47	124.547
A48	PhyClone
B48	200
C48	10
D48	1000
E48	1
F48	2
G48	0.6320552037313971
H48	1000
I48	1000
J48	0.5856227873103512
K48	1
L48	1014.79
M48	328.2958
A49	PhyClone
B49	200
C49	10
D49	1000
E49	1
F49	3
G49	0.4555066902399913
H49	1000
I49	1000
J49	0.3558452163361557
K49	1
L49	1010.54
M49	117.069
A50	PhyClone
B50	200
C50	10
D50	100
E50	1
F50	4
G50	0.4236859984339285
H50	100
I50	100
J50	0.6202499362407549
K50	1
L50	1019.16
M50	108.1761
A51	PhyClone
B51	200
C51	10
D51	200
E51	1
F51	2
G51	0.5743271019802392
H51	200
I51	200
J51	0.6905973537931575
K51	1
L51	1005.14
M51	128.1086
A52	PhyClone
B52	50
C52	10
D52	1000
E52	1
F52	2
G52	0.5082414161927947
H52	1000
I52	1000
J52	0.2690649471448144
K52	1
L52	986.98
M52	91.56870000000001
A53	PhyClone
B53	50
C53	10
D53	1000
E53	1
F53	3
G53	0.4098257813701325
H53	1000
I53	1000
J53	0.670020959970122
K53	1
L53	1009.13
M53	197.6274
A54	PhyClone
B54	50
C54	10
D54	100
E54	1
F54	4
G54	0.5782077236517719
H54	100
I54	100
J54	0.7887323943661971
K54	1
L54	1008.61
M54	186.9204
A55	PhyClone
B55	50
C55	10
D55	200
E55	1
F55	1
G55	0.5925206270897496
H55	200
I55	200
J55	0.4216166159544913
K55	1
L55	1008.16
M55	186.9993
A56	PhyClone
B56	1000
C56	10
D56	1000
E56	30
F56	1
G56	0.9933992056322544
H56	1000
I56	1000
J56	0.9986412153755484
K56	1
L56	1280.57
M56	364.1455
A57	PhyClone
B57	1000
C57	10
D57	1000
E57	30
F57	2
G57	1
H57	1000
I57	1000
J57	1
K57	1
L57	1373.84
M57	486.8672
A58	PhyClone
B58	1000
C58	10
D58	100
E58	30
F58	1
G58	0.9933868366805428
H58	100
I58	100
J58	0.9995090819833088
K58	1
L58	1254.24
M58	328.5704
A59	PhyClone
B59	1000
C59	10
D59	200
E59	30
F59	3
G59	1
H59	200
I59	200
J59	1
K59	1
L59	1544.27
M59	496.2119
A60	PhyClone
B60	200
C60	10
D60	1000
E60	30
F60	1
G60	0.9875790731475532
H60	1000
I60	1000
J60	0.9962951654339908
K60	1
L60	1802.68
M60	2117.8203
A61	PhyClone
B61	200
C61	10
D61	100
E61	30
F61	3
G61	0.9920708740321064
H61	100
I61	100
J61	0.9993150684931508
K61	1
L61	1571.46
M61	566.145
A62	PhyClone
B62	200
C62	10
D62	200
E62	30
F62	1
G62	0.9703530117953926
H62	200
I62	200
J62	0.9515086206896552
K62	1
L62	1575.68
M62	516.4127
A63	PhyClone
B63	50
C63	10
D63	100
E63	30
F63	1
G63	0.866469114867069
H63	100
I63	100
J63	0.9277490405473052
K63	1
L63	1112.36
M63	335.194
A64	PhyClone
B64	50
C64	10
D64	200
E64	30
F64	1
G64	0.9665023271872424
H64	200
I64	200
J64	0.8566772775504017
K64	1
L64	1110.48
M64	295.0987
A65	PhyClone
B65	200
C65	10
D65	1000
E65	3
F65	3
G65	0.8134205239554804
H65	1000
I65	1000
J65	0.7436793389230062
K65	1
L65	1086
M65	467.9935
A66	PhyClone
B66	200
C66	10
D66	100
E66	3
F66	4
G66	0.8575268180121546
H66	100
I66	100
J66	0.8200297471492315
K66	1
L66	1119.48
M66	371.6524
A67	PhyClone
B67	200
C67	10
D67	200
E67	3
F67	4
G67	0.8105374246146271
H67	200
I67	200
J67	0.6658658288671225
K67	1
L67	1023.36
M67	324.7185
A68	PhyClone
B68	50
C68	10
D68	1000
E68	3
F68	2
G68	0.6737531643366341
H68	1000
I68	1000
J68	0.8247984995563808
K68	1
L68	1013.25
M68	171.7029
A69	PhyClone
B69	50
C69	10
D69	1000
E69	3
F69	3
G69	0.837719430019024
H69	1000
I69	1000
J69	0.3909300473615826
K69	1
L69	1078.43
M69	418.5197
A70	PhyClone
B70	50
C70	10
D70	100
E70	3
F70	4
G70	0.6789530302374138
H70	100
I70	100
J70	0.7782089552238806
K70	1
L70	1007.39
M70	127.0999
A71	PhyClone
B71	50
C71	10
D71	200
E71	3
F71	2
G71	0.7182972612954667
H71	200
I71	200
J71	0.7537576544813509
K71	1
L71	1028.09
M71	301.8214
A72	PhyClone
B72	50
C72	10
D72	200
E72	3
F72	3
G72	0.714430232281501
H72	200
I72	200
J72	0.452013306191351
K72	1
L72	1105.84
M72	401.3261
A73	PhyClone
B73	1000
C73	30
D73	3000
E73	100
F73	4
G73	0.9159881761388642
H73	3000
I73	3000
J73	0.9661197079841038
K73	1
L73	4337.43
M73	8465.7359
A74	PhyClone
B74	200
C74	30
D74	3000
E74	100
F74	2
G74	0.896602302535949
H74	3000
I74	3000
J74	0.9665396392417588
K74	1
L74	4078.86
M74	1153.1336
A75	PhyClone
B75	200
C75	30
D75	3000
E75	100
F75	3
G75	0.8946442712056195
H75	2997
I75	3000
J75	0.8559093906414673
K75	1
L75	4330.47
M75	9590.2605
A76	PhyClone
B76	200
C76	30
D76	3000
E76	100
F76	4
G76	0.8472421023017574
H76	3000
I76	3000
J76	0.9393058397293572
K76	1
L76	4100.96
M76	1208.2742
A77	PhyClone
B77	50
C77	30
D77	300
E77	10
F77	3
G77	0.7586174857158521
H77	300
I77	300
J77	0.9025275924368996
K77	1
L77	1071.92
M77	363.8561
A78	PhyClone
B78	200
C78	30
D78	300
E78	100
F78	4
G78	0.8870012576227391
H78	290
I78	300
J78	0.7521917007597896
K78	1
L78	3639.41
M78	8246.188900000001
A79	PhyClone
B79	200
C79	30
D79	600
E79	100
F79	1
G79	0.878395972696311
H79	600
I79	600
J79	0.9174922734756362
K79	1
L79	3746
M79	2235.9094
A80	PhyClone
B80	200
C80	30
D80	600
E80	100
F80	4
G80	0.8785908685507084
H80	600
I80	600
J80	0.7849651605488112
K80	1
L80	3855.63
M80	15992.754
A81	PhyClone
B81	50
C81	30
D81	3000
E81	100
F81	1
G81	0.8374923919319675
H81	3000
I81	3000
J81	0.8089810850298065
K81	1
L81	3415.73
M81	954.64
A82	PhyClone
B82	50
C82	30
D82	300
E82	100
F82	3
G82	0.7486909034305399
H82	300
I82	300
J82	0.7065985699693564
K82	1
L82	3570.07
M82	976.6676
A83	PhyClone
B83	50
C83	30
D83	600
E83	100
F83	3
G83	0.7927249743547883
H83	600
I83	600
J83	0.6011613973638124
K83	1
L83	3559.64
M83	888.2826
A84	PhyClone
B84	1000
C84	30
D84	3000
E84	10
F84	1
G84	0.8735593272810186
H84	3000
I84	3000
J84	0.8384810831852332
K84	1
L84	1399.6
M84	1439.0107
A85	PhyClone
B85	1000
C85	30
D85	600
E85	10
F85	4
G85	0.8473605921386207
H85	600
I85	600
J85	0.8206093432633716
K85	1
L85	1286.27
M85	1414.9888
A86	PhyClone
B86	200
C86	30
D86	3000
E86	10
F86	2
G86	0.8256206497346836
H86	3000
I86	3000
J86	0.5788314666235888
K86	1
L86	1403.34
M86	1363.2238
A87	PhyClone
B87	200
C87	30
D87	3000
E87	10
F87	3
G87	0.8264554803075889
H87	3000
I87	3000
J87	0.8346680196900508
K87	1
L87	1425.62
M87	913.4311
A88	PhyClone
B88	200
C88	30
D88	3000
E88	10
F88	4
G88	0.8535866491200989
H88	3000
I88	3000
J88	0.7531844978780151
K88	1
L88	1353.51
M88	862.215
A89	PhyClone
B89	200
C89	30
D89	300
E89	10
F89	1
G89	0.8091900293020099
H89	300
I89	300
J89	0.8480849132362697
K89	1
L89	1276.14
M89	624.6681
A90	PhyClone
B90	200
C90	30
D90	600
E90	10
F90	1
G90	0.8192424272086938
H90	600
I90	600
J90	0.90123370981755
K90	1
L90	1241.21
M90	551.0269000000001
A91	PhyClone
B91	50
C91	30
D91	3000
E91	10
F91	1
G91	0.8179121534563416
H91	3000
I91	3000
J91	0.9094544421314432
K91	1
L91	1337.27
M91	497.1306
A92	PhyClone
B92	50
C92	30
D92	600
E92	10
F92	2
G92	0.7988267578033784
H92	600
I92	600
J92	0.7180645095374807
K92	1
L92	1289.47
M92	585.6804
A93	PhyClone
B93	1000
C93	30
D93	3000
E93	30
F93	1
G93	0.8970356343946364
H93	3000
I93	3000
J93	0.8761021508309781
K93	1
L93	2098.3
M93	6443.28
A94	PhyClone
B94	1000
C94	30
D94	3000
E94	30
F94	2
G94	0.8731978824495569
H94	3000
I94	3000
J94	0.9421011685196642
K94	1
L94	1941.46
M94	1209.4194
A95	PhyClone
B95	1000
C95	30
D95	300
E95	30
F95	1
G95	0.8701301478206511
H95	300
I95	300
J95	0.9620007956137469
K95	1
L95	1736.02
M95	595.1618000000001
A96	PhyClone
B96	200
C96	30
D96	3000
E96	30
F96	3
G96	0.8665285648852271
H96	3000
I96	3000
J96	0.901896291562934
K96	1
L96	2031.29
M96	2347.1218
A97	PhyClone
B97	200
C97	30
D97	300
E97	30
F97	3
G97	0.8473501822819784
H97	300
I97	300
J97	0.8972673815288827
K97	1
L97	1825.43
M97	1758.149
A98	PhyClone
B98	200
C98	30
D98	300
E98	30
F98	4
G98	0.8385751735636986
H98	300
I98	300
J98	0.8966031859325828
K98	1
L98	1890.75
M98	3743.9712
A99	PhyClone
B99	200
C99	30
D99	600
E99	30
F99	3
G99	0.8219851475162252
H99	600
I99	600
J99	0.9014479311588602
K99	1
L99	1784.33
M99	1573.5123
A100	PhyClone
B100	200
C100	30
D100	600
E100	30
F100	4
G100	0.8661079176015575
H100	600
I100	600
J100	0.8978172070462088
K100	1
L100	1858.77
M100	1653.255
A101	PhyClone
B101	50
C101	30
D101	3000
E101	30
F101	4
G101	0.8144249224413517
H101	3000
I101	3000
J101	0.5251195154979456
K101	1
L101	2022.77
M101	1275.1344
A102	PhyClone
B102	50
C102	30
D102	300
E102	30
F102	1
G102	0.8285810942103456
H102	300
I102	300
J102	0.860521169675747
K102	1
L102	1602.96
M102	626.4833
A103	PhyClone
B103	50
C103	30
D103	300
E103	30
F103	2
G103	0.7409200740556755
H103	300
I103	300
J103	0.7222742892845986
K103	1
L103	1826.4
M103	2347.3704
A104	PhyClone
B104	50
C104	30
D104	600
E104	30
F104	1
G104	0.7939083672096151
H104	600
I104	600
J104	0.8779623629971738
K104	1
L104	1461.99
M104	583.659
A105	PhyClone
B105	50
C105	30
D105	600
E105	30
F105	2
G105	0.7826304010134143
H105	600
I105	600
J105	0.7807179735887565
K105	1
L105	1835.76
M105	781.5943
A106	PhyClone
B106	1000
C106	3
D106	300
E106	100
F106	1
G106	1
H106	300
I106	300
J106	1
K106	1
L106	1088.63
M106	132.0008
A107	PhyClone
B107	1000
C107	3
D107	60
E107	100
F107	1
G107	1
H107	60
I107	60
J107	1
K107	1
L107	1045.33
M107	140.8266
A108	PhyClone
B108	1000
C108	3
D108	60
E108	100
F108	3
G108	1
H108	60
I108	60
J108	1
K108	1
L108	1044.18
M108	136.1801
A109	PhyClone
B109	1000
C109	3
D109	60
E109	100
F109	4
G109	1
H109	60
I109	60
J109	1
K109	1
L109	1086.46
M109	151.2414
A110	PhyClone
B110	200
C110	3
D110	300
E110	100
F110	3
G110	1
H110	300
I110	300
J110	1
K110	1
L110	1103.55
M110	166.038
A111	PhyClone
B111	200
C111	3
D111	60
E111	100
F111	4
G111	1
H111	60
I111	60
J111	1
K111	1
L111	1050.67
M111	158.0063
A112	PhyClone
B112	50
C112	3
D112	30
E112	100
F112	4
G112	1
H112	30
I112	30
J112	1
K112	1
L112	1052.76
M112	160.0702
A113	PhyClone
B113	50
C113	3
D113	60
E113	100
F113	1
G113	1
H113	60
I113	60
J113	1
K113	1
L113	1046.04
M113	137.5366
A114	PhyClone
B114	50
C114	3
D114	60
E114	100
F114	3
G114	1
H114	60
I114	60
J114	1
K114	1
L114	1053.83
M114	182.1325
A115	PhyClone
B115	1000
C115	3
D115	300
E115	10
F115	4
G115	1
H115	300
I115	300
J115	1
K115	1
L115	1035.97
M115	182.1716
A116	PhyClone
B116	1000
C116	3
D116	30
E116	10
F116	2
G116	1
H116	30
I116	30
J116	1
K116	1
L116	1003.73
M116	103.8718
A117	PhyClone
B117	1000
C117	3
D117	30
E117	10
F117	3
G117	1
H117	30
I117	30
J117	1
K117	1
L117	1002.02
M117	106.7428
A118	PhyClone
B118	1000
C118	3
D118	60
E118	10
F118	1
G118	1
H118	60
I118	60
J118	1
K118	1
L118	1051.32
M118	98.4448
A119	PhyClone
B119	1000
C119	3
D119	60
E119	10
F119	2
G119	1
H119	60
I119	60
J119	1
K119	1
L119	1000.93
M119	114.223
A120	PhyClone
B120	1000
C120	3
D120	60
E120	10
F120	4
G120	1
H120	60
I120	60
J120	1
K120	1
L120	1007.18
M120	207.7909
A121	PhyClone
B121	200
C121	3
D121	300
E121	10
F121	2
G121	1
H121	300
I121	300
J121	1
K121	1
L121	1004.48
M121	113.6825
A122	PhyClone
B122	200
C122	3
D122	300
E122	10
F122	4
G122	1
H122	300
I122	300
J122	1
K122	1
L122	1006.84
M122	109.3521
A123	PhyClone
B123	200
C123	3
D123	30
E123	10
F123	2
G123	1
H123	30
I123	30
J123	1
K123	1
L123	1051.8
M123	117.3464
A124	PhyClone
B124	200
C124	3
D124	60
E124	10
F124	1
G124	1
H124	60
I124	60
J124	1
K124	1
L124	1004.02
M124	103.2592
A125	PhyClone
B125	200
C125	3
D125	60
E125	10
F125	2
G125	1
H125	60
I125	60
J125	1
K125	1
L125	1009.49
M125	121.8048
A126	PhyClone
B126	200
C126	3
D126	60
E126	10
F126	4
G126	1
H126	60
I126	60
J126	1
K126	1
L126	1004.86
M126	102.463
A127	PhyClone
B127	50
C127	3
D127	300
E127	10
F127	1
G127	1
H127	300
I127	300
J127	1
K127	1
L127	1006.47
M127	109.9586
A128	PhyClone
B128	50
C128	3
D128	30
E128	10
F128	2
G128	1
H128	30
I128	30
J128	1
K128	1
L128	1018.89
M128	158.6861
A129	PhyClone
B129	50
C129	3
D129	30
E129	10
F129	4
G129	1
H129	30
I129	30
J129	1
K129	1
L129	998.98
M129	117.7812
A130	PhyClone
B130	50
C130	3
D130	60
E130	10
F130	4
G130	0.9142240411106712
H130	60
I130	60
J130	0.9644218551461246
K130	1
L130	1000.2
M130	114.0577
A131	PhyClone
B131	1000
C131	3
D131	300
E131	1
F131	2
G131	0.475906520360099
H131	300
I131	300
J131	0.6928339059317138
K131	1
L131	995.34
M131	72.22749999999999
A132	PhyClone
B132	1000
C132	3
D132	300
E132	1
F132	4
G132	0.7858252976386637
H132	300
I132	300
J132	0.8708759067155448
K132	1
L132	990.05
M132	78.5654
A133	PhyClone
B133	1000
C133	3
D133	30
E133	1
F133	2
G133	0
H133	30
I133	30
J133	0
K133	1
L133	305.04
M133	45.8492
A134	PhyClone
B134	1000
C134	3
D134	30
E134	1
F134	3
G134	1
H134	30
I134	30
J134	1
K134	1
L134	1021.5
M134	125.9252
A135	PhyClone
B135	1000
C135	3
D135	30
E135	1
F135	4
G135	0.8409339908839941
H135	30
I135	30
J135	0.45
K135	1
L135	1003.07
M135	79.17349999999999
A136	PhyClone
B136	200
C136	3
D136	300
E136	1
F136	3
G136	0
H136	300
I136	300
J136	0
