cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
B2	LTXSIM150
C2	11
D2	0.8996429457537026
E2	1047
F2	1047
G2	0.9382819940668324
H2	1
I2	1401.91
J2	2170.8705
A3	CONIPHER
B3	LTXSIM150
C3	11
D3	0.9320788429476838
E3	925
F3	1047
G3	0.8043215545995069
H3	1
I3	186.94
J3	143.3848
A4	fastBE
B4	LTXSIM150
C4	11
D4	0.8996429457537026
E4	1047
F4	1047
G4	0.8772292006941215
H4	1
I4	32.16
J4	4.3491
A5	Orchard
B5	LTXSIM150
C5	11
D5	0.8996429457537026
E5	1047
F5	1047
G5	0.8253859510282184
H5	1
I5	335.7
J5	11.0313
A6	Pairtree
B6	LTXSIM150
C6	11
D6	0.8996429457537026
E6	1047
F6	1047
G6	0.7947906456645085
H6	1
I6	1093.43
J6	132.3832
A7	PhyClone
B7	LTXSIM015
C7	2
D7	0.8979186665960127
E7	473
F7	473
G7	0.9836589385228888
H7	1
I7	1023.3
J7	250.1037
A8	CONIPHER
B8	LTXSIM015
C8	2
D8	0.9081526018902992
E8	470
F8	473
G8	0.9778345250255362
H8	1
I8	182.98
J8	16.2798
A9	fastBE
B9	LTXSIM015
C9	2
D9	0.8979186665960127
E9	473
F9	473
G9	0.9725476304936366
H9	1
I9	43.83
J9	3.1784
A10	Orchard
B10	LTXSIM015
C10	2
D10	0.8979186665960127
E10	473
F10	473
G10	0.9781491166528478
H10	1
I10	66.73
J10	5.6448
A11	Pairtree
B11	LTXSIM015
C11	2
D11	0.8979186665960127
E11	473
F11	473
G11	0.8533394406114913
H11	1
I11	1088.58
J11	93.71070000000002
A12	PhyClone
B12	LTXSIM103
C12	8
D12	0.894515163107187
E12	2005
F12	2005
G12	0.987205147944178
H12	1
I12	1347.74
J12	1000.8982
A13	CONIPHER
B13	LTXSIM103
C13	8
D13	0.8859156080344187
E13	1873
F13	2005
G13	0.8565354426450872
H13	1
I13	221.95
J13	134.2932
A14	fastBE
B14	LTXSIM103
C14	8
D14	0.894515163107187
E14	2005
F14	2005
G14	0.9875096845444532
H14	1
I14	35.33
J14	3.1266
A15	Orchard
B15	LTXSIM103
C15	8
D15	0.894515163107187
E15	2005
F15	2005
G15	0.6962043981038779
H15	1
I15	345.39
J15	11.5657
A16	Pairtree
B16	LTXSIM103
C16	8
D16	0.894515163107187
E16	2005
F16	2005
G16	0.6962043981038779
H16	1
I16	1149.29
J16	126.0778
A17	PhyClone
B17	LTXSIM118
C17	8
D17	0.8424245745657384
E17	1047
F17	1047
G17	0.9532165685854443
H17	1
I17	1291.54
J17	1138.2486
A18	CONIPHER
B18	LTXSIM118
C18	8
D18	0.842424574565738
E18	1047
F18	1047
G18	0.958003378918607
H18	1
I18	203.42
J18	82.12560000000001
A19	fastBE
B19	LTXSIM118
C19	8
D19	0.842424574565738
E19	1047
F19	1047
G19	0.9489706107118324
H19	1
I19	34.24
J19	4.2038
A20	Orchard
B20	LTXSIM118
C20	8
