cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
B2	LTXSIM150
C2	9
D2	0.8411602814939725
E2	397
F2	453
G2	0.8759289499116872
H2	1
I2	1308.07
J2	1427.4095
A3	CONIPHER
B3	LTXSIM150
C3	9
D3	0.8832298380606104
E3	365
F3	453
G3	0.8491066169251914
H3	1
I3	171.71
J3	79.645
A4	fastBE
B4	LTXSIM150
C4	9
D4	0.8326481272337352
E4	453
F4	453
G4	0.7595855217544093
H4	1
I4	41.02
J4	4.0537
A5	Orchard
B5	LTXSIM150
C5	9
D5	0.8326481272337352
E5	453
F5	453
G5	0.7681702184071852
H5	1
I5	331.32
J5	9.7613
A6	Pairtree
B6	LTXSIM150
C6	9
D6	0.8326481272337352
E6	453
F6	453
G6	0.7388314487033585
H6	1
I6	1119.82
J6	130.7737
A7	PhyClone
B7	LTXSIM015
C7	3
D7	0.7582774475143673
E7	452
F7	452
G7	0.8130910538849708
H7	1
I7	1119.78
J7	477.6723
A8	CONIPHER
B8	LTXSIM015
C8	3
D8	0.7652649906646803
E8	410
F8	452
G8	0.725907674727943
H8	1
I8	155.4
J8	31.561
A9	fastBE
B9	LTXSIM015
C9	3
D9	0.7582774475143673
E9	452
F9	452
G9	0.7287920242577306
H9	1
I9	43.57
J9	1.7641
A10	Orchard
B10	LTXSIM015
C10	3
D10	0.7582774475143673
E10	452
F10	452
G10	0.753798522656526
H10	1
I10	330.16
J10	10.3597
A11	Pairtree
B11	LTXSIM015
C11	3
D11	0.7582774475143673
E11	452
F11	452
G11	0.8087982460291172
H11	1
I11	1134.25
J11	109.3312
A12	PhyClone
B12	LTXSIM103
C12	11
D12	0.8190947982677562
E12	2172
F12	2205
G12	0.7504320473357173
H12	1
I12	1426.04
J12	1180.3696
A13	CONIPHER
B13	LTXSIM103
C13	11
D13	0.7976690420980576
E13	1614
F13	2205
G13	0.7022890956827543
H13	1
I13	187.24
J13	206.5114
A14	fastBE
B14	LTXSIM103
C14	11
D14	0.8171040305795043
E14	2205
F14	2205
G14	0.696283086156895
H14	1
I14	33.92
J14	4.0449
A15	Orchard
B15	LTXSIM103
C15	11
D15	0.8171040305795043
E15	2205
F15	2205
G15	0.5306991434767916
H15	1
I15	348.51
J15	7.6273
A16	Pairtree
B16	LTXSIM103
C16	11
D16	0.8171040305795043
E16	2205
F16	2205
G16	0.590983549384608
H16	1
I16	1112.29
J16	137.4295
A17	PhyClone
B17	LTXSIM118
C17	10
D17	0.7945655950538221
E17	1797
F17	1840
G17	0.7792116553076873
H17	1
I17	1332.95
J17	897.6800999999999
A18	CONIPHER
B18	LTXSIM118
C18	10
D18	0.7817262002074709
E18	1627
F18	1840
G18	0.8312473587129766
H18	1
I18	199.01
J18	159.615
A19	fastBE
B19	LTXSIM118
C19	10
D19	0.7901510652975891
E19	1840
F19	1840
G19	0.7777259813708848
H19	1
I19	41.52
J19	3.2442
A20	Orchard
B20	LTXSIM118
C20	10
D20	0.7901510652975891
