cell	value
A1	program
B1	relationship_reconstruction_error
C1	num_trees_rrl
D1	depth
E1	num_clusters
F1	num_mutations
G1	num_samples
H1	run
I1	perplexity
J1	num_trees_perplex
K1	truth_perplexity
L1	log_perplexity_ratio
A2	Pairtree
B2	0.1999859929964982
C2	11
D2	1000
E2	100
F2	2000
G2	100
H2	1
I2	12.63662731105591
J2	11
K2	3.950059896099721
L2	8.686567414956187
A3	Pairtree
B3	0.2004204620462046
C3	26
D3	200
E3	100
F3	10000
G3	100
H3	4
I3	4.300710517095043
J3	26
K3	2.479649833149992
L3	1.821060683945051
A4	Pairtree
B4	0.1576816816816816
C4	18
D4	200
E4	100
F4	1000
G4	100
H4	1
I4	4.382403928359888
J4	18
K4	2.89607600143124
L4	1.486327926928647
A5	Pairtree
B5	0.1384857428714357
C5	6
D5	200
E5	100
F5	2000
G5	100
H5	1
I5	4.095733812756905
J5	6
K5	2.745868768743521
L5	1.349865044013384
A6	Pairtree
B6	0.2288294147073536
C6	3
D6	200
E6	100
F6	2000
G6	100
H6	2
I6	4.434797392216178
J6	3
K6	2.92392569237646
L6	1.510871699839718
A7	Pairtree
B7	0.1878000198893867
C7	10
D7	50
E7	100
F7	10000
G7	100
H7	4
I7	1.792066501762378
J7	10
K7	1.355402487182069
L7	0.4366640145803093
A8	Pairtree
B8	0.2031518955453823
C8	21
D8	1000
E8	100
F8	10000
G8	10
H8	3
I8	10.51881662718698
J8	21
K8	3.425991657610274
L8	7.092824969576701
A9	Pairtree
B9	0.206184047585353
C9	73
D9	1000
E9	100
F9	2000
G9	10
H9	3
I9	9.715670615071064
J9	73
K9	3.990495303273394
L9	5.725175311797671
A10	Pairtree
B10	0.1843472112313455
C10	463
D10	200
E10	100
F10	10000
G10	10
H10	2
I10	3.872886779260076
J10	463
K10	2.610473266373641
L10	1.262413512886435
A11	Pairtree
B11	0.2200889385675593
C11	17
D11	200
E11	100
F11	10000
G11	10
H11	3
I11	4.513669267998264
J11	17
K11	2.838362343414361
L11	1.675306924583903
A12	Pairtree
B12	0.1785086540034175
C12	649
D12	200
E12	100
F12	1000
G12	10
H12	4
I12	3.410282461344381
J12	649
K12	2.656111485930643
L12	0.7541709754137371
A13	Pairtree
B13	0.1543508046270686
C13	42
D13	50
E13	100
F13	10000
G13	10
H13	1
I13	1.604909362299405
J13	42
K13	1.479087313774043
L13	0.1258220485253625
A14	Pairtree
B14	0.2967993102752405
C14	74
D14	50
E14	100
F14	10000
G14	10
H14	3
I14	1.762993003234917
J14	74
K14	1.534455088536081
L14	0.2285379146988362
A15	Pairtree
B15	0.5195568598613484
C15	123
D15	50
E15	100
F15	1000
G15	10
H15	1
I15	1.823190374079326
J15	123
K15	1.892013447677456
L15	-0.06882307359812941
A16	Pairtree
B16	0.3088214694067328
C16	177
D16	50
E16	100
F16	1000
G16	10
H16	3
