cell	value
A1	metric
B1	prog_1
C1	prog_2
D1	p_value
E1	mean_diff
F1	better_performer_of_pair
G1	significant
A2	relationship_reconstruction_error
B2	CONIPHER
C2	fastBE
D2	1.991301754755704e-05
E2	0.0537738046935887
F2	fastBE
G2	1
A3	relationship_reconstruction_error
B3	CONIPHER
C3	Orchard
D3	0
E3	0.1370254356586763
F3	Orchard
G3	1
A4	relationship_reconstruction_error
B4	CONIPHER
C4	Pairtree
D4	0
E4	0.1430681034275973
F4	Pairtree
G4	1
A5	relationship_reconstruction_error
B5	CONIPHER
C5	PhyClone
D5	0
E5	0.1328336293793955
F5	PhyClone
G5	1
A6	relationship_reconstruction_error
B6	fastBE
C6	Orchard
D6	0
E6	0.0832516309650876
F6	Orchard
G6	1
A7	relationship_reconstruction_error
B7	fastBE
C7	Pairtree
D7	0
E7	0.0892942987340086
F7	Pairtree
G7	1
A8	relationship_reconstruction_error
B8	fastBE
C8	PhyClone
D8	0
E8	0.0790598246858067
F8	PhyClone
G8	1
A9	relationship_reconstruction_error
B9	Orchard
C9	Pairtree
D9	0.0362884147690774
E9	0.006042667768921
F9	Pairtree
G9	0
A10	relationship_reconstruction_error
B10	Orchard
C10	PhyClone
D10	0.7000598306470016
E10	-0.0041918062792808
F10	Orchard
G10	0
A11	relationship_reconstruction_error
B11	Pairtree
C11	PhyClone
D11	0.5259080949322035
E11	-0.0102344740482018
F11	Pairtree
G11	0
A12	log_perplexity_ratio
B12	CONIPHER
C12	fastBE
D12	0.7394290225252911
E12	-3.417058814047178
F12	CONIPHER
G12	0
A13	log_perplexity_ratio
B13	CONIPHER
C13	Orchard
D13	0
E13	0.5612589049612422
F13	Orchard
G13	1
A14	log_perplexity_ratio
B14	CONIPHER
C14	Pairtree
D14	0
E14	0.54837009663627
F14	Pairtree
G14	1
A15	log_perplexity_ratio
B15	CONIPHER
C15	PhyClone
D15	0
E15	0.5726047873407379
F15	PhyClone
G15	1
A16	log_perplexity_ratio
B16	fastBE
C16	Orchard
D16	0
E16	3.978317719008421
F16	Orchard
G16	1
A17	log_perplexity_ratio
B17	fastBE
C17	Pairtree
D17	0
E17	3.965428910683448
F17	Pairtree
G17	1
A18	log_perplexity_ratio
B18	fastBE
C18	PhyClone
D18	0
E18	3.989663601387916
F18	PhyClone
G18	1
A19	log_perplexity_ratio
B19	Orchard
C19	Pairtree
D19	0.0738969513697558
E19	-0.0128888083249721
F19	Orchard
G19	0
A20	log_perplexity_ratio
B20	Orchard
C20	PhyClone
D20	0.0114390883995751
E20	0.0113458823794957
F20	PhyClone
G20	0
A21	log_perplexity_ratio
B21	Pairtree
C21	PhyClone
D21	6.813977515562898e-08
E21	0.0242346907044679
F21	PhyClone
G21	1
