cell	value
A1	program
B1	relationship_reconstruction_error
C1	num_trees_rrl
D1	depth
E1	num_mutations
F1	num_samples
G1	run
H1	perplexity
I1	num_trees_perplex
J1	truth_perplexity
K1	log_perplexity_ratio
A2	Orchard
B2	0.0625694829608551
C2	3
D2	1000
E2	100
F2	2
G2	0
H2	6.149043649577902
I2	3
J2	6.149043649590667
K2	-1.27649002479302e-11
A3	Orchard
B3	0.0226384090515693
C3	2
D3	1000
E3	100
F3	4
G3	0
H3	6.03192494044325
I3	2
J3	6.032084326611599
K3	-0.0001593861683497
A4	Orchard
B4	0
C4	1
D4	1000
E4	100
F4	8
G4	0
H4	6.178157503384512
I4	1
J4	6.178157503384512
K4	-8.881784197001252e-16
A5	Orchard
B5	0.2896969696969697
C5	1
D5	1000
E5	100
F5	16
G5	0
H5	6.304737205733905
I5	1
J5	6.211559439948787
K5	0.0931777657851178
A6	Orchard
B6	0.5979797979797979
C6	1
D6	1000
E6	100
F6	128
G6	0
H6	6.074325670203496
I6	1
J6	5.889261874326192
K6	0.185063795877304
A7	fastBE
B7	0.0678523426851322
C7	1
D7	1000
E7	100
F7	2
G7	0
H7	6.214510535377294
I7	1
J7	6.149043649590667
K7	0.0654668857866269
A8	fastBE
B8	0.0169788067886799
C8	1
D8	1000
E8	100
F8	4
G8	0
H8	6.091840145950981
I8	1
J8	6.032084326611599
K8	0.0597558193393821
A9	fastBE
B9	0
C9	1
D9	1000
E9	100
F9	8
G9	0
H9	6.24432413844908
I9	1
J9	6.178157503384512
K9	0.06616663506456789
A10	fastBE
B10	0
C10	1
D10	1000
E10	100
F10	16
G10	0
H10	6.275844191464247
I10	1
J10	6.211559439948787
K10	0.0642847515154603
A11	fastBE
B11	0
C11	1
D11	1000
E11	100
F11	128
G11	0
H11	5.95379292117813
I11	1
J11	5.889261874326192
K11	0.064531046851938
A12	Pairtree
B12	0.0106363113152879
C12	4
D12	1000
E12	100
F12	2
G12	0
H12	6.149044265609647
I12	4
J12	6.149043649590667
K12	6.160189798265492e-07
A13	Pairtree
B13	2.10067809422493e-06
C13	3
D13	1000
E13	100
F13	4
G13	0
H13	6.031930988885534
I13	3
J13	6.032084326611599
K13	-0.0001533377260649
A14	Pairtree
B14	0
C14	1
D14	1000
E14	100
F14	8
G14	0
H14	6.178157503384512
I14	1
J14	6.178157503384512
K14	-8.881784197001252e-16
A15	Pairtree
B15	0.2896969696969697
C15	1
D15	1000
E15	100
F15	16
G15	0
H15	6.304737205733905
I15	1
J15	6.211559439948787
K15	0.0931777657851178
A16	Pairtree
B16	0.5979797979797979
C16	1
D16	1000
E16	100
F16	128
G16	0
H16	6.074325670203496
I16	1
J16	5.889261874326192
K16	0.185063795877304
A17	CONIPHER
B17	0.0056596022628933
C17	2
D17	1000
E17	100
F17	2
G17	0
H17	6.151478203527122
I17	2
J17	6.149043649590667
