cell	value
A1	metric
B1	prog_1
C1	prog_2
D1	p_value
E1	mean_diff
F1	better_performer_of_pair
G1	significant
A2	relationship_reconstruction_error
B2	CONIPHER
C2	fastBE
D2	0
E2	0.0471290957758413
F2	fastBE
G2	1
A3	relationship_reconstruction_error
B3	CONIPHER
C3	Orchard
D3	0
E3	0.0290555417199464
F3	Orchard
G3	1
A4	relationship_reconstruction_error
B4	CONIPHER
C4	Pairtree
D4	1.110223024625156e-16
E4	0.0259293830362549
F4	Pairtree
G4	1
A5	relationship_reconstruction_error
B5	CONIPHER
C5	PhyClone
D5	0
E5	0.1171734616514387
F5	PhyClone
G5	1
A6	relationship_reconstruction_error
B6	fastBE
C6	Orchard
D6	0.0112268329036424
E6	-0.0180735540558949
F6	fastBE
G6	0
A7	relationship_reconstruction_error
B7	fastBE
C7	Pairtree
D7	0.0017920583063583
E7	-0.0211997127395863
F7	fastBE
G7	1
A8	relationship_reconstruction_error
B8	fastBE
C8	PhyClone
D8	0.0010310703779548
E8	0.0700443658755974
F8	PhyClone
G8	1
A9	relationship_reconstruction_error
B9	Orchard
C9	Pairtree
D9	0.9864089156668366
E9	-0.0031261586836914
F9	Orchard
G9	0
A10	relationship_reconstruction_error
B10	Orchard
C10	PhyClone
D10	1.341005084753988e-11
E10	0.0881179199314923
F10	PhyClone
G10	1
A11	relationship_reconstruction_error
B11	Pairtree
C11	PhyClone
D11	2.962075029699918e-13
E11	0.0912440786151838
F11	PhyClone
G11	1
A12	log_perplexity_ratio
B12	CONIPHER
C12	fastBE
D12	0.0584803979412944
E12	-2.256720277190309
F12	CONIPHER
G12	0
A13	log_perplexity_ratio
B13	CONIPHER
C13	Orchard
D13	0
E13	0.1884234750291517
F13	Orchard
G13	1
A14	log_perplexity_ratio
B14	CONIPHER
C14	Pairtree
D14	0
E14	0.1885554195556574
F14	Pairtree
G14	1
A15	log_perplexity_ratio
B15	CONIPHER
C15	PhyClone
D15	0
E15	0.2498641888743628
F15	PhyClone
G15	1
A16	log_perplexity_ratio
B16	fastBE
C16	Orchard
D16	0
E16	2.445143752219461
F16	Orchard
G16	1
A17	log_perplexity_ratio
B17	fastBE
C17	Pairtree
D17	0
E17	2.445275696745967
F17	Pairtree
G17	1
A18	log_perplexity_ratio
B18	fastBE
C18	PhyClone
D18	0
E18	2.506584466064672
F18	PhyClone
G18	1
A19	log_perplexity_ratio
B19	Orchard
C19	Pairtree
D19	0.7741871980124662
E19	0.0001319445265057
F19	Pairtree
G19	0
A20	log_perplexity_ratio
B20	Orchard
C20	PhyClone
D20	8.906657023022292e-08
E20	0.061440713845211
F20	PhyClone
G20	1
A21	log_perplexity_ratio
B21	Pairtree
C21	PhyClone
D21	4.84582374227216e-11
E21	0.0613087693187053
F21	PhyClone
G21	1
