cell	value
A1	program
B1	relationship_reconstruction_error
C1	num_trees_rrl
D1	depth
E1	num_mutations
F1	num_samples
G1	run
H1	perplexity
I1	num_trees_perplex
J1	truth_perplexity
K1	log_perplexity_ratio
A2	Orchard
B2	0.0604075483120085
C2	4
D2	1000
E2	10000
F2	2
G2	0
H2	5.960817517120972
I2	4
J2	5.955951609543057
K2	0.0048659075779156
A3	Orchard
B3	0.4159864386044755
C3	3
D3	1000
E3	10000
F3	4
G3	0
H3	5.776644917881372
I3	3
J3	5.747746435530153
K3	0.0288984823512192
A4	Orchard
B4	0.6951773777377738
C4	1
D4	1000
E4	10000
F4	8
G4	0
H4	5.71994071773621
I4	1
J4	5.717304615522733
K4	0.0026361022134775
A5	Orchard
B5	0.6371085308530853
C5	1
D5	1000
E5	10000
F5	16
G5	0
H5	5.946166806379843
I5	1
J5	5.89557802131057
K5	0.050588785069273
A6	CONIPHER
B6	0.000248454714255
C6	1
D6	1000
E6	10000
F6	2
G6	0
H6	5.955783376321102
I6	1
J6	5.955951609543057
K6	-0.000168233221955
A7	CONIPHER
B7	0.0054045785847035
C7	16
D7	1000
E7	10000
F7	4
G7	0
H7	5.764763134077537
I7	16
J7	5.747746435530153
K7	0.0170166985473843
A8	CONIPHER
B8	0.1368684468446844
C8	1
D8	1000
E8	10000
F8	8
G8	0
H8	5.735246286433975
I8	1
J8	5.717304615522733
K8	0.0179416709112425
A9	CONIPHER
B9	0.0024690223057497
C9	2
D9	1000
E9	10000
F9	16
G9	0
H9	5.897986006747662
I9	2
J9	5.89557802131057
K9	0.0024079854370926
A10	PhyClone
B10	0.0002118582702637
C10	16
D10	1000
E10	10000
F10	2
G10	0
H10	5.955359783281279
I10	16
J10	5.955951609543057
K10	-0.0005918262617781
A11	PhyClone
B11	0.0030440978882316
C11	51
D11	1000
E11	10000
F11	4
G11	0
H11	5.764763348487837
I11	51
J11	5.747746435530153
K11	0.0170169129576844
A12	PhyClone
B12	0.1265521552155215
C12	2
D12	1000
E12	10000
F12	8
G12	0
H12	5.707701661626954
I12	2
J12	5.717304615522733
K12	-0.0096029538957784
A13	PhyClone
B13	0
C13	1
D13	1000
E13	10000
F13	16
G13	0
H13	5.895578021310567
I13	1
J13	5.89557802131057
K13	-2.664535259100376e-15
A14	Pairtree
B14	0.0570365498724795
C14	8
D14	1000
E14	10000
F14	2
G14	0
H14	5.960817515383639
I14	8
J14	5.955951609543057
K14	0.0048659058405826
A15	Pairtree
B15	0.3947030101123844
C15	27
D15	1000
E15	10000
F15	4
G15	0
H15	5.776644780394514
I15	27
J15	5.747746435530153
K15	0.0288983448643618
A16	Pairtree
B16	0.7049260526052605
C16	2
D16	1000
E16	10000
F16	8
G16	0
H16	5.719801341553105
I16	2
J16	5.717304615522733
K16	0.0024967260303725
A17	Pairtree
B17	0.6371085308530853
C17	3
D17	1000
