cell	value
A1	metric
B1	prog_1
C1	prog_2
D1	p_value
E1	mean_diff
F1	better_performer_of_pair
G1	significant
A2	relationship_reconstruction_error
B2	CONIPHER
C2	fastBE
D2	0.0023803175334828
E2	-0.0405812727450104
F2	CONIPHER
G2	1
A3	relationship_reconstruction_error
B3	CONIPHER
C3	Orchard
D3	0
E3	-0.2988091867218873
F3	CONIPHER
G3	1
A4	relationship_reconstruction_error
B4	CONIPHER
C4	Pairtree
D4	0
E4	-0.297772453064697
F4	CONIPHER
G4	1
A5	relationship_reconstruction_error
B5	CONIPHER
C5	PhyClone
D5	0.0100405793708974
E5	-0.0079857276471067
F5	CONIPHER
G5	0
A6	relationship_reconstruction_error
B6	fastBE
C6	Orchard
D6	0
E6	-0.2582279139768768
F6	fastBE
G6	1
A7	relationship_reconstruction_error
B7	fastBE
C7	Pairtree
D7	0
E7	-0.2571911803196865
F7	fastBE
G7	1
A8	relationship_reconstruction_error
B8	fastBE
C8	PhyClone
D8	4.864642022539556e-11
E8	0.0325955450979037
F8	PhyClone
G8	1
A9	relationship_reconstruction_error
B9	Orchard
C9	Pairtree
D9	0.7599930639107473
E9	0.0010367336571903
F9	Pairtree
G9	0
A10	relationship_reconstruction_error
B10	Orchard
C10	PhyClone
D10	0
E10	0.2908234590747806
F10	PhyClone
G10	1
A11	relationship_reconstruction_error
B11	Pairtree
C11	PhyClone
D11	0
E11	0.2897867254175902
F11	PhyClone
G11	1
A12	log_perplexity_ratio
B12	CONIPHER
C12	fastBE
D12	0.007997325623148
E12	-0.1895476197803917
F12	CONIPHER
G12	1
A13	log_perplexity_ratio
B13	CONIPHER
C13	Orchard
D13	0
E13	0.0620674082523212
F13	Orchard
G13	1
A14	log_perplexity_ratio
B14	CONIPHER
C14	Pairtree
D14	0
E14	0.0628210376435409
F14	Pairtree
G14	1
A15	log_perplexity_ratio
B15	CONIPHER
C15	PhyClone
D15	0
E15	0.085032536953612
F15	PhyClone
G15	1
A16	log_perplexity_ratio
B16	fastBE
C16	Orchard
D16	0
E16	0.2516150280327129
F16	Orchard
G16	1
A17	log_perplexity_ratio
B17	fastBE
C17	Pairtree
D17	0
E17	0.2523686574239326
F17	Pairtree
G17	1
A18	log_perplexity_ratio
B18	fastBE
C18	PhyClone
D18	0
E18	0.2745801567340037
F18	PhyClone
G18	1
A19	log_perplexity_ratio
B19	Orchard
C19	Pairtree
D19	0.970929496366201
E19	0.0007536293912196
F19	Pairtree
G19	0
A20	log_perplexity_ratio
B20	Orchard
C20	PhyClone
D20	0
E20	0.0229651287012908
F20	PhyClone
G20	1
A21	log_perplexity_ratio
B21	Pairtree
C21	PhyClone
D21	0
E21	0.0222114993100711
F21	PhyClone
G21	1
